Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
223,"A Mahmood, L Beltramelli, SF Abedin, S Zeb, NI Mowla, SA Hassan, ...","Industrial IoT in 5G-and-beyond networks: Vision, architecture, and design trends",2021,"IEEE Transactions on Industrial Informatics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3885532848022931716",1,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:a0OBvERweLwC",18,6,4122,4137,223,55.75,32,7,4,"","",""
125,"SF Abedin, MS Munir, NH Tran, Z Han, CS Hong","Data freshness and energy-efficient UAV navigation optimization: A deep reinforcement learning approach",2020,"IEEE Transactions on Intelligent Transportation Systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9246009649259084661",4,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:3s1wT3WcHBgC",22,9,5994,6006,125,25.00,25,5,5,"","",""
43,"SU Minhaj, A Mahmood, SF Abedin, SA Hassan, MT Bhatti, SH Ali, ...","Intelligent Resource Allocation in LoRaWAN Using Machine Learning Techniques",2023,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2927499897089347759",12,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:KxtntwgDAa4C",11,,10092,10106,43,21.50,6,7,2,"","",""
147,"SF Abedin, MGR Alam, SMA Kazmi, NH Tran, D Niyato, CS Hong","Resource allocation for ultra-reliable and enhanced mobile broadband IoT applications in fog network",2018,"IEEE Transactions on Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13584849469252344918",2,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:hMod-77fHWUC",67,1,489,502,147,21.00,25,6,7,"","",""
54,"SF Abedin, A Mahmood, NH Tran, Z Han, M Gidlund","Elastic O-RAN slicing for industrial monitoring and control: A distributed matching game and deep reinforcement learning approach",2022,"IEEE Transactions on Vehicular Technology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14578720658205664862",9,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:dfsIfKJdRG4C",71,10,10808,10822,54,18.00,11,5,3,"","",""
51,"A Mahmood, SF Abedin, T Sauter, M Gidlund, K Landernas","Factory 5G: A Review of Industry-Centric Features and Deployment Options",2022,"IEEE Industrial Electronics Magazine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14521429924307979970,15325141647272015093",10,"2025-03-24 02:13:57","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:f2IySw72cVMC",,,,,51,17.00,10,5,3,"","",""
147,"SF Abedin, MGR Alam, R Haw, CS Hong","A system model for energy efficient green-IoT network",2015,"2015 International Conference on Information Networking (ICOIN)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10831555488965943770",3,"2025-03-24 02:13:57","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:u5HHmVD_uO8C",,,177,182,147,14.70,37,4,10,"","",""
41,"H Lundberg, NI Mowla, SF Abedin, K Thar, A Mahmood, M Gidlund, ...","Experimental Analysis of Trustworthy In-Vehicle Intrusion Detection System Using eXplainable Artificial Intelligence (XAI)",2022,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6197475230399262033",14,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:NhqRSupF_l8C",10,,102831,102841,41,13.67,6,7,3,"","",""
87,"AK Bairagi, SF Abedin, NH Tran, D Niyato, CS Hong","QoE-enabled unlicensed spectrum sharing in 5G: A game-theoretic approach",2018,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17715562244922610621",6,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:blknAaTinKkC",6,,50538,50554,87,12.43,17,5,7,"","",""
74,"MGR Alam, SF Abedin, SI Moon, A Talukder, CS Hong","Healthcare IoT-Based Affective State Mining Using a Deep Convolutional Neural Network",2019,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17618167785006505441",7,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:NaGl4SEjCO4C",7,,75189,75202,74,12.33,15,5,6,"","",""
69,"MS Munir, SF Abedin, NH Tran, CS Hong","When edge computing meets microgrid: A deep reinforcement learning approach",2019,"IEEE Internet of Things Journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4332679695299639145",8,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:ns9cj8rnVeAC",6,5,7360,7374,69,11.50,17,4,6,"","",""
44,"MS Munir, SF Abedin, NH Tran, Z Han, EN Huh, CS Hong","Risk-aware energy scheduling for edge computing with microgrid: A multi-agent deep reinforcement learning approach",2021,"IEEE Transactions on Network and Service Management","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15528238602120410806",11,"2025-03-24 02:13:57","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:ZHo1McVdvXMC",18,3,3476,3497,44,11.00,7,6,4,"","",""
91,"SF Abedin, MGR Alam, NH Tran, CS Hong","A Fog based System Model for Cooperative IoT Node Pairing using Matching Theory",2015,"Asia-Pacific Network Operations and Management Symposium (APNOMS)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17237257824540158392",5,"2025-03-24 02:13:57","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ej2vXoAAAAJ&pagesize=100&citation_for_view=-ej2vXoAAAAJ:UeHWp8X0CEIC",2015,,,,91,9.10,23,4,10,"","",""
