Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
941,"M Hosenuzzaman, NA Rahim, J Selvaraj, M Hasanuzzaman, ...","Global prospects, progress, policies, and environmental impact of solar photovoltaic power generation",2015,"Renewable and sustainable energy reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7358627811881960050",1,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:xtRiw3GOFMkC",41,,284,297,941,94.10,188,5,10,"","",""
471,"L Kumar, M Hasanuzzaman, NA Rahim","Global advancement of solar thermal energy technologies for industrial process heat and its future prospects: A review",2019,"Energy conversion and management","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13704962871010354580",5,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:FsLZdJ3BAzkC",195,,885,908,471,78.50,157,3,6,"","",""
112,"MW Akram, M Hasannuzaman, E Cuce, PM Cuce","Global technological advancement and challenges of glazed window, facade system and vertical greenery-based energy savings in buildings: A comprehensive review",2023,"Energy and Built Environment","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9509725655519862555",33,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:cRMvf6lLvU8C",4,2,206,226,112,56.00,28,4,2,"","",""
500,"MM Rahman, M Hasanuzzaman, NA Rahim","Effects of various parameters on PV-module power and efficiency",2015,"Energy Conversion and Management","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11964597796323449329",4,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:JoZmwDi-zQgC",103,,348,358,500,50.00,167,3,10,"","",""
427,"M Hasanuzzaman, A Malek, MM Islam, AK Pandey, NA Rahim","Global advancement of cooling technologies for PV systems: A review",2016,"Solar Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5341247413551796897",6,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:IUKN3-7HHlwC",137,,25,45,427,47.44,85,5,9,"","",""
137,"MAA Mamun, MM Islam, M Hasanuzzaman, J Selvaraj","Effect of tilt angle on the performance and electrical parameters of a PV module: Comparative indoor and outdoor experimental investigation",2022,"Energy and Built Environment","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4085420619611417197",23,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:BJtnxTr0fRcC",3,3,278,290,137,45.67,34,4,3,"","",""
675,"R Saidur, NA Rahim, M Hasanuzzaman","A review on compressed-air energy use and energy savings",2010,"Renewable and sustainable energy reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8409728288877044091",2,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:u5HHmVD_uO8C",14,4,1135,1153,675,45.00,225,3,15,"","",""
573,"R Saidur, M Rezaei, WK Muzammil, MH Hassan, S Paria, ...","Technologies to recover exhaust heat from internal combustion engines",2012,"Renewable and sustainable energy reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4701758285283711131",3,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:d1gkVwhDpl0C",16,8,5649,5659,573,44.08,96,6,13,"","",""
121,"MRH Mojumder, F Ahmed Antara, M Hasanuzzaman, B Alamri, ...","Electric vehicle-to-grid (V2G) technologies: Impact on the power grid and battery",2022,"Sustainability","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15797703874281204826",29,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:B2rIPIGFPLEC",14,21,13856,13856,121,40.33,24,5,3,"","",""
273,"R Nasrin, NA Rahim, H Fayaz, M Hasanuzzaman","Water/MWCNT nanofluid based cooling system of PVT: Experimental and numerical research",2018,"Renewable energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2163698288382489763",9,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:ymY9cBF3mdcC",121,,286,300,273,39.00,68,4,7,"","",""
242,"TH Oh, M Hasanuzzaman, J Selvaraj, SC Teo, SC Chua","Energy policy and alternative energy in Malaysia: Issues and challenges for sustainable growth–An update",2018,"Renewable and Sustainable Energy Reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18047526366928251379",10,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:pYKElYtJMmwC",81,,3021,3031,242,34.57,48,5,7,"","",""
199,"H Fayaz, NA Rahim, M Hasanuzzaman, R Nasrin, A Rivai","Numerical and experimental investigation of the effect of operating conditions on performance of PVT and PVT-PCM",2019,"Renewable Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8205310452492831824",13,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:TGkaJS32XoUC",143,,827,841,199,33.17,40,5,6,"","",""
126,"A Kamarulzaman, M Hasanuzzaman, NA Rahim","Global advancement of solar drying technologies and its future prospects: A review",2021,"Solar Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5715210474257409285",27,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:sbeIDTyQOFgC",221,,559,582,126,31.50,42,3,4,"","",""
188,"H Fayaz, NA Rahim, M Hasanuzzaman, A Rivai, R Nasrin","Numerical and outdoor real time experimental investigation of performance of PCM based PVT system",2019,"Solar Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16574903180566251294",16,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:L24QuVWYgZ0C",179,,135,150,188,31.33,38,5,6,"","",""
367,"A Kamyar, R Saidur, M Hasanuzzaman","Application of computational fluid dynamics (CFD) for nanofluids",2012,"International Journal of Heat and Mass Transfer 55 (15-16)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15066979044294147265",7,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:UeHWp8X0CEIC",,,4104,4115,367,28.23,122,3,13,"","",""
195,"H Fayaz, R Nasrin, NA Rahim, M Hasanuzzaman","Energy and exergy analysis of the PVT system: Effect of nanofluid flow rate",2018,"Solar Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16149481957766107333",14,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:_tF6a-HnqWAC",169,,217,230,195,27.86,49,4,7,"","",""
111,"SBM Ali, M Hasanuzzaman, NA Rahim, MAA Mamun, UH Obaidellah","Analysis of energy consumption and potential energy savings of an institutional building in Malaysia",2021,"Alexandria Engineering Journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2935700223385757027",34,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:0sTkTiv_uMkC",60,1,805,820,111,27.75,22,5,4,"","",""
359,"R Saidur, TC Meng, Z Said, M Hasanuzzaman, A Kamyar","Evaluation of the effect of nanofluid-based absorbers on direct solar collector",2012,"International Journal of Heat and Mass Transfer 55 (21-22)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4329658216704440344",8,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:IjCSPb-OGe4C",,,5899,5907,359,27.62,72,5,13,"","",""
218,"A Nahar, M Hasanuzzaman, NA Rahim","Numerical and experimental investigation on the performance of a photovoltaic thermal collector with parallel plate flow channel under different operating conditions in Malaysia",2017,"Solar Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17538305631051807874",11,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:BmWJbWwHJAwC",144,,517,528,218,27.25,73,3,8,"","",""
214,"MM Islam, AK Pandey, M Hasanuzzaman, NA Rahim","Recent progresses and achievements in photovoltaic-phase change material technology: A review with special treatment on photovoltaic thermal-phase change material systems",2016,"Energy Conversion and Management","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3658065755043260918",12,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:0CzhzZyukY4C",126,,177,204,214,23.78,54,4,9,"","",""
47,"I Mahmud, MB Medha, M Hasanuzzaman","Global challenges of electric vehicle charging systems and its future prospects: A review",2023,"Research in Transportation Business &Management","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5189263574373446868",68,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:KqnX2w3egDsC",49,,101011,101011,47,23.50,16,3,2,"","",""
68,"NAQ Muzir, MRH Mojumder, M Hasanuzzaman, J Selvaraj","Challenges of electric vehicles and their prospects in Malaysia: A comprehensive review",2022,"Sustainability","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1476276828087179861",49,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:AFXcoJnoRH0C",14,14,8320,8320,68,22.67,17,4,3,"","",""
63,"HF Yu, M Hasanuzzaman, NA Rahim, N Amin, N Nor Adzman","Global challenges and prospects of photovoltaic materials disposal and recycling: a comprehensive review",2022,"Sustainability","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7140023770735982057",51,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:5LPo_wSKItgC",14,14,8567,8567,63,21.00,13,5,3,"","",""
60,"N Goetzel, M Hasanuzzaman","An empirical analysis of electric vehicle cost trends: A case study in Germany",2022,"Research in Transportation Business &Management","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2309791379368093916",53,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:pUxgyZctzPYC",43,,100825,100825,60,20.00,30,2,3,"","",""
79,"MM Islam, M Hasanuzzaman, NA Rahim, AK Pandey, M Rawa, L Kumar","Real time experimental performance investigation of a NePCM based photovoltaic thermal system: An energetic and exergetic approach",2021,"Renewable Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8545192732485113258",45,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:txeM2kYbVNMC",172,,71,87,79,19.75,13,6,4,"","",""
59,"MW Akram, MF Mohd Zublie, M Hasanuzzaman, NA Rahim","Global prospects, advance technologies and policies of energy-saving and sustainable building systems: A review",2022,"Sustainability","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8385072135946156707",55,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:Oo1CbQkBAzEC",14,3,1316,1316,59,19.67,15,4,3,"","",""
155,"MM Rahman, M Hasanuzzaman, N Abd Rahim","Effects of operational conditions on the energy efficiency of photovoltaic modules operating in Malaysia",2017,"Journal of cleaner production","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18219898870815808111",21,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:zUl2_INMlC4C",143,,912,924,155,19.38,52,3,8,"","",""
127,"MM Rahman, J Selvaraj, NA Rahim, M Hasanuzzaman","Global modern monitoring systems for PV based power generation: A review",2018,"Renewable and Sustainable Energy Reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16093347666190755427",26,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:orDZ08hpP44C",82,,4142,4158,127,18.14,32,4,7,"","",""
36,"F Lai, J Zhou, L Lu, M Hasanuzzaman, Y Yuan","Green building technologies in Southeast Asia: A review",2023,"Sustainable Energy Technologies and Assessments","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2773365492379516133",77,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:IT1MJ6E3JesC",55,,102946,102946,36,18.00,7,5,2,"","",""
121,"R Nasrin, M Hasanuzzaman, NA Rahim","Effect of high irradiation and cooling on power, energy and performance of a PVT system",2018,"Renewable energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16992440751103102167",30,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:ndLnGcHYRF0C",116,,552,569,121,17.29,40,3,7,"","",""
137,"N IqtiyaniIlham, M Hasanuzzaman, M Hosenuzzaman","European smart grid prospects, policies, and challenges",2017,"Renewable and Sustainable Energy Reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8933943254714706942",24,"2025-03-24 02:19:31","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4O3KgKoAAAAJ&pagesize=100&citation_for_view=4O3KgKoAAAAJ:nVrZBo8bIpAC",67,,776,790,137,17.13,46,3,8,"","",""
