Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
89,"A Weidhuner, A Hanauer, R Krausz, SJ Crittenden, K Gage, ...","Tillage impacts on soil aggregation and aggregate-associated carbon and nitrogen after 49 years",2020,"Soil and Tillage Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13337595149484601921",1,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:KlAtU1dfN6UC",208,,104878,104878,89,17.80,15,6,5,"","",""
80,"KL Gage, RF Krausz, SA Walters","Emerging challenges for weed management in herbicide-resistant crops",2019,"Agriculture","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12265177872683281218",2,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:ufrVoPGSRksC",9,8,180,180,80,13.33,27,3,6,"","",""
54,"KL Gage, LM Schwartz-Lazaro","Shifting the paradigm: an ecological systems approach to weed management",2019,"Agriculture","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14123961607340406987",3,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:roLk4NBRz8UC",9,8,179,179,54,9.00,27,2,6,"","",""
52,"NE Korres, JK Norsworthy, BG Young, DB Reynolds, WG Johnson, ...","Seedbank Persistence of Palmer Amaranth (Amaranthus palmeri) and Waterhemp (Amaranthus tuberculatus) across Diverse Geographical Regions in the United …",2018,"Weed Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16660678996871993628",4,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:5nxA0vEk-isC",66,4,446,456,52,7.43,9,6,7,"","",""
22,"LF Rocha, KL Gage, MF Pimentel, JP Bond, AM Fakhoury","Weeds Hosting the Soybean Cyst Nematode (Heterodera glycines Ichinohe): Management Implications in Agroecological Systems",2021,"Agronomy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18375473051916879374",9,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:_kc_bZDykSQC",11,1,146,146,22,5.50,4,5,4,"","",""
11,"C Landau, K Bradley, E Burns, M Flessner, K Gage, A Hager, J Ikley, ...","The silver bullet that wasn’t: Rapid agronomic weed adaptations to glyphosate in North America",2023,"PNAS nexus 2 (12), pgad","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11314847621183143714",14,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:TQgYirikUcIC",338,,,,11,5.50,1,8,2,"","",""
21,"CJ Bryan, SD Sipes, M Arduser, L Kassim, DJ Gibson, DA Scott, KL Gage","Efficacy of cover crops for pollinator habitat provision and weed suppression",2021,"Environmental Entomology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14289407214690005297",10,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:ULOm3_A8WrAC",50,1,208,221,21,5.25,3,7,4,"","",""
26,"G Singh, ADGM Thilakarathne, KWJ Williard, JE Schoonover, RL Cook, ...","Tillage and legume non‐legume cover cropping effects on corn–soybean production",2020,"Agronomy Journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2637562637245271281",6,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:9yKSN-GCB0IC",112,4,2636,2648,26,5.20,4,6,5,"","",""
26,"CM Perkins, KL Gage, JK Norsworthy, BG Young, KW Bradley, MD Bish, ...","Efficacy of residual herbicides influenced by cover-crop residue for control of Amaranthus palmeri and A. tuberculatus in soybean",2020,"Weed Technology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6925238206373122932",7,"2025-03-24 02:16:03","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:3fE2CSJIrl8C",,,1,5,26,5.20,4,7,5,"","",""
9,"J Nunes, NJ Arneson, J Wallace, K Gage, E Miller, S Lancaster, T Mueller, ...","Impact of cereal rye cover crop on the fate of preemergence herbicides flumioxazin and pyroxasulfone and control of Amaranthus spp. in soybean",2023,"Weed Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12951300895713984490",16,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:hFOr9nPyWt4C",71,5,493,505,9,4.50,1,8,2,"","",""
41,"LM Schwartz, DJ Gibson, KL Gage, JL Matthews, DL Jordan, MDK Owen, ...","Seedbank and field emergence of weeds in glyphosate-resistant cropping systems in the United States",2015,"Weed science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9182368819335763483",5,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:W7OEmFMy1HYC",63,2,425,439,41,4.10,6,7,10,"","",""
18,"JL Chisausky, NM Soley, L Kassim, CJ Bryan, GFG Miranda, KL Gage, ...","Syrphidae of Southern Illinois: Diversity, floral associations, and preliminary assessment of their efficacy as pollinators",2020,"Biodiversity Data Journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=623417600578424607",12,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:kNdYIx-mwKoC",8,,57331,,18,3.60,3,7,5,"","",""
3,"F Sharifi Kalyani, S Babaei, Y Zafarsohrabpour, I Nosratti, K Gage, ...","Investigating the impacts of airborne dust on herbicide performance on Amaranthus retroflexus",2024,"Scientific Reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10405783538314318424",23,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:7PzlFSSx8tAC",14,1,3785,3785,3,3.00,1,6,1,"","",""
8,"A Shikanai, KL Gage","Allelopathic potential of hemp: implications for integrated weed management",2022,"Frontiers in Agronomy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17765869489856106564",17,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:mVmsd5A6BfQC",4,,832471,832471,8,2.67,4,2,3,"","",""
25,"BG Young, DJ Gibson, KL Gage, JL Matthews, DL Jordan, MDK Owen, ...","Agricultural weeds in glyphosate-resistant cropping systems in the United States",2013,"Weed science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11001839403290132368",8,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:eQOLeE2rZwMC",61,1,85,97,25,2.08,4,7,12,"","",""
18,"DJ Gibson, BG Young, MDK Owen, KL Gage, JL Matthews, DL Jordan, ...","Benchmark study on glyphosate‐resistant cropping systems in the United States. Part 7: Effects of weed management strategy (grower practices versus academic recommendations) on …",2016,"Pest management science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16180224262040152649",13,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:hqOjcs7Dif8C",72,4,692,700,18,2.00,3,7,9,"","",""
8,"AF Plecki, K Akamani, JW Groninger, JC Brenner, KL Gage","Homeowner perceptions and responses to buffelgrass invasion risk in the Tucson, Arizona Wildland-Urban Interface",2021,"Heliyon","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3517409308335915751",18,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:aqlVkmm33-oC",7,5,,,8,2.00,2,5,4,"","",""
2,"Z Ren, DJ Gibson, KL Gage, JL Matthews, MDK Owen, DL Jordan, ...","Exploring the effect of region on diversity and composition of weed seedbanks in herbicide‐resistant crop systems in the United States",2024,"Pest Management Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11148741763145250207",25,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:HDshCWvjkbEC",80,3,1446,1453,2,2.00,0,7,1,"","",""
21,"DJ Gibson, KL Gage, JL Matthews, BG Young, MDK Owen, RG Wilson, ...","The effect of weed management systems and location on arable weed species communities in glyphosate‐resistant cropping systems",2013,"Applied Vegetation Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6718346830852238624",11,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:zYLM7Y9cAGgC",16,4,676,687,21,1.75,3,7,12,"","",""
5,"LM Schwartz-Lazaro, KL Gage, BS Chauhan","weed biology and ecology in agroecosystems",2021,"Frontiers in Agronomy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2963726274625012327",19,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:M3ejUd6NZC8C",3,,730074,730074,5,1.25,2,3,4,"","",""
10,"KL Gage, DJ Gibson, BG Young, JM Young, JL Matthews, SC Weller, ...","Occurrence of an herbicide‐resistant plant trait in agricultural field margins",2015,"Ecology and Evolution","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10896107938247545347",15,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:YsMSGLbcyi4C",5,18,4161,4173,10,1.00,1,7,10,"","",""
1,"G Singh, T Slonecki, P Wadl, M Flessner, L Sosnoskie, ...","Implementing Digital Multispectral 3D Scanning Technology for Rapid Assessment of Hemp (Cannabis sativa L.) Weed Competitive Traits",2024,"Remote Sensing","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13026569617383772312",27,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:j3f4tGmQtD8C",16,13,2375,2375,1,1.00,0,6,1,"","",""
5,"MM Rumpa, RF Krausz, DJ Gibson, KL Gage","Effect of PPO-Inhibiting Herbicides on the Growth and Sex Ratio of a Dioecious Weed Species Amaranthus palmeri (Palmer Amaranth)",2019,"Agronomy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6694465812174158505",20,"2025-03-24 02:16:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6IqTa8AAAAAJ&pagesize=100&citation_for_view=6IqTa8AAAAAJ:IjCSPb-OGe4C",9,6,275,275,5,0.83,1,4,6,"","",""
