Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"PK Nandi, MRI Reaj, S Sarker, MA Razzaque, M Mamun-or-Rashid, ...","Task offloading to edge cloud balancing utility and cost for energy harvesting Internet of Things",2024,"Journal of Network and Computer Applications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8068639954085841644",6,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:qxL8FJ1GzNcC",221,,103766,103766,16,16.00,3,6,1,"","",""
48,"P Roy, S Sarker, MA Razzaque, M Mamun-or-Rashid, MM Hassan, ...","Distributed task allocation in Mobile Device Cloud exploiting federated learning and subjective logic",2021,"Journal of Systems Architecture","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10134719339288368460",2,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:0EnyYjriUFMC",113,,101972,101972,48,12.00,8,6,4,"","",""
11,"A Razzak, MT Islam, P Roy, MA Razzaque, MR Hassan, MM Hassan","Leveraging Deep Q-Learning to maximize consumer quality of experience in smart grid",2024,"Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12978113591257103392",7,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:QIV2ME_5wuYC",290,,130165,130165,11,11.00,2,6,1,"","",""
54,"P Roy, S Sarker, MA Razzaque, MM Hassan, SA AlQahtani, G Aloi, ...","AI-enabled mobile multimedia service instance placement scheme in mobile edge computing",2020,"Computer Networks","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15313342572566984202",1,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:hqOjcs7Dif8C",182,,107573,107573,54,10.80,8,7,5,"","",""
42,"MR Palas, MR Islam, P Roy, MA Razzaque, A Alsanad, SA AlQahtani, ...","Multi-criteria handover mobility management in 5G cellular network",2021,"Computer Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7916723998630629538",4,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:MXK_kJrjxJIC",174,,81,91,42,10.50,6,7,4,"","",""
44,"P Roy, A Tahsin, S Sarker, T Adhikary, MA Razzaque, MM Hassan","User mobility and Quality-of-Experience aware placement of Virtual Network Functions in 5G",2020,"Computer Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3245784502766511882",3,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:9yKSN-GCB0IC",150,,367,377,44,8.80,7,6,5,"","",""
21,"M Shahjalal, N Farhana, P Roy, MA Razzaque, K Kaur, MM Hassan","A Binary Grey Wolf Optimization algorithm for deployment of Virtual Network Functions in 5G hybrid cloud",2022,"Computer Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11981670061085486451",5,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:ULOm3_A8WrAC",193,,63,74,21,7.00,4,6,3,"","",""
7,"S Brotee, F Kabir, MA Razzaque, P Roy, M Mamun-Or-Rashid, ...","Optimizing UAV-UGV coalition operations: A hybrid clustering and multi-agent reinforcement learning approach for path planning in obstructed environment",2024,"Ad Hoc Networks","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7605796138550883020",9,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:-f6ydRqryjwC",160,,103519,103519,7,7.00,1,6,1,"","",""
6,"S Murshed, AS Nibir, MA Razzaque, P Roy, AZ Elhendi, MR Hassan, ...","Weighted fair energy transfer in a UAV network: A multi-agent deep reinforcement learning approach",2024,"Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6511967109284771164",11,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:7PzlFSSx8tAC",292,,130527,130527,6,6.00,1,7,1,"","",""
9,"A Tahsin, P Roy, MA Razzaque, M Mamun-Or-Rashid, M Siraj, ...","Energy Cooperation Among Sustainable Base Stations in Multi-Operator Cellular Networks",2023,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3439804198895795684",8,"2025-03-24 02:02:23","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6YbqlUkAAAAJ&pagesize=100&citation_for_view=6YbqlUkAAAAJ:YOwf2qJgpHMC",11,,19405,19417,9,4.50,2,6,2,"","",""
