Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"S Saha, C Saha, MM Haque, MGR Alam, A Talukder","Churnnet: deep learning enhanced customer churn prediction in telecommunication industry",2024,"IEEE access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14901124102869818051",7,"2025-03-24 02:15:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:EUQCXRtRnyEC",12,,4471,4484,23,23.00,5,5,1,"","",""
74,"MGR Alam, SF Abedin, SI Moon, A Talukder, CS Hong","Healthcare IoT-based affective state mining using a deep convolutional neural network",2019,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17618167785006505441",1,"2025-03-24 02:15:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:JV2RwH3_ST0C",7,,75189,75202,74,12.33,15,5,6,"","",""
48,"A Talukder, MGR Alam, NH Tran, D Niyato, GH Park, CS Hong","Threshold estimation models for linear threshold-based influential user mining in social networks",2019,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17336951070522918890",3,"2025-03-24 02:15:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:aqlVkmm33-oC",7,,105441,105461,48,8.00,8,6,6,"","",""
57,"S Kim","Jaehyeok Son, Ashis Talukder and Choong Seon Hong,“Congestion Prevention Mechanism Based on Q-learning for Efficient Routing,”",2016,"IEEE International Conference on Information Networking (ICOIN)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10607430523795849224",2,"2025-03-24 02:15:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:mB3voiENLucC",,,124,128,57,6.33,57,1,9,"","",""
36,"MA Layek, NQ Thai, MA Hossain, NT Thu, LP Tuyen, A Talukder, ...","Performance analysis of H. 264, H. 265, VP9 and AV1 video encoders",2017,"2017 19th Asia-Pacific Network Operations and Management Symposium (APNOMS …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7404879804493387049",4,"2025-03-24 02:15:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:7PzlFSSx8tAC",,,,,36,4.50,5,7,8,"","",""
24,"A Talukder, CS Hong","Knapsack-based Reverse Influence Maximization for Target Marketing in Social Networks",2019,"Tthe 34th ACM/SIGAPP Symposium on Applied Computing (SAC), 2128-","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12606462924342938699",6,"2025-03-24 02:15:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:isC4tDSrTZIC",2130,,,,24,4.00,12,2,6,"","",""
4,"SMM Rahman, ANM Saif, S Kabir, MF Bari, MM Alom, MJ Rayhan, F Zan, ...","Blockchain in the banking industry: Unravelling thematic drivers and proposing a technological framework through systematic review with bibliographic network mapping",2025,"IET Blockchain","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5227020747196086212",20,"2025-03-24 02:15:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:NhqRSupF_l8C",5,1,12093,,4,4.00,1,8,1,"","",""
18,"A Talukder, MGR Alam, NH Tran, CS Hong","A cost optimized reverse influence maximization in social networks",2018,"NOMS 2018-2018 IEEE/IFIP Network Operations and Management Symposium","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8167622938259031661",9,"2025-03-24 02:15:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:M3NEmzRMIkIC",,,1,9,18,2.57,5,4,7,"","",""
16,"A Talukder, MGR Alam, AK Bairagi, SF Abedin, MA Layek, HT Nguyen, ...","An approach of cost optimized influence maximization in social networks",2017,"2017 19th Asia-Pacific Network Operations and Management Symposium (APNOMS …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8875336261916044818",10,"2025-03-24 02:15:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:L8Ckcad2t8MC",,,,,16,2.00,2,7,8,"","",""
19,"A Talukder, ANM Saif","Employee motivation measurement–A descriptive analysis",2014,"Bangladesh Journal of MIS","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17054679396665019561",8,"2025-03-24 02:15:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:iH-uZ7U-co4C",6,2,122,131,19,1.73,10,2,11,"","",""
12,"AK Bairagi, MGR Alam, A Talukder, TH Nguyen, DE Lee, CS Hong","An overlapping coalition formation approach to maximize payoffs in cloud computing environment",2016,"2016 International Conference on Information Networking (ICOIN)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10683210112550503020",11,"2025-03-24 02:15:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:eQOLeE2rZwMC",,,324,329,12,1.33,2,6,9,"","",""
7,"A Talukder, CS Hong","A heuristic mixed model for viral marketing cost minimization in social networks",2019,"2019 International Conference on Information Networking (ICOIN)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5074144906277073056",17,"2025-03-24 02:15:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:j3f4tGmQtD8C",,,141,146,7,1.17,4,2,6,"","",""
8,"A Talukder, AK Bairagi, CS Hong","Reverse path activation-based reverse influence maximization in social networks",2018,"Journal of KIISE","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14906877882151779529",14,"2025-03-24 02:15:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:HDshCWvjkbEC",45,11,1203,1209,8,1.14,3,3,7,"","",""
8,"A Talukder, SF Abedin, MS Munir, CS Hong","Dual threshold load balancing in SDN environment using process migration",2018,"2018 International Conference on Information Networking (ICOIN)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9146028869008187969",15,"2025-03-24 02:15:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:qUcmZB5y_30C",,,791,796,8,1.14,2,4,7,"","",""
9,"MGR Alam, SF Abedin, AK Bairaggi, A Talukder, CS Hong","An autonomic SLA management for IoT networks",2016,"한국정보과학회 학술발표논문집","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13674017789137366720",12,"2025-03-24 02:15:28","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:M3ejUd6NZC8C",,,507,509,9,1.00,2,5,9,"","",""
8,"A Talukder, CS Hong","Active reverse path based reverse influence maximization in social networks",2017,"한국정보과학회 학술발표논문집","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10558987479511263184",16,"2025-03-24 02:15:28","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:IWHjjKOFINEC",,,1203,1205,8,1.00,4,2,8,"","",""
9,"A Talukder, R Kamal, AK Bairagi, MGR Alam, SF Abedin, MA Layek, ...","Rumors in the Social Network: Finding the Offenders Using Influence Maximization: Finding the Offenders Using Influence Maximization",2015,"한국정보과학회 학술발표논문집","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12343111693903709736",13,"2025-03-24 02:15:28","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:UeHWp8X0CEIC",,,1214,1216,9,0.90,1,7,10,"","",""
6,"A Talukder, CS Hong","Epidemiological reverse influence maximization in social networks with negative influencing",2018,"한국정보과학회 학술발표논문집","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15847310568252863060",19,"2025-03-24 02:15:28","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:hFOr9nPyWt4C",,,1277,1279,6,0.86,3,2,7,"","",""
7,"SF Abedin, MGR Alam, AK Bairagi, A Talukder, CS Hong","UAV-assisted Intelligent Crowdsourcing in Natural Calamity",2016,"The International Symposium on Perception, Action, and Cognitive Systems …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11697686547290120665",18,"2025-03-24 02:15:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:Wp0gIr-vW9MC",,,,,7,0.78,1,5,9,"","",""
4,"A Talukder, CS Hong","Cm2d: Cost minimization under the competitive market in dynamic social networks",2019,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10905458271256945780",21,"2025-03-24 02:15:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:RYcK_YlVTxYC",8,,4428,4441,4,0.67,2,2,6,"","",""
4,"A Talukder, CS Hong","A heuristic approach for viral marketing cost optimization in social networks",2018,"한국정보과학회 학술발표논문집","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6632932745849301492",22,"2025-03-24 02:15:28","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8DESGtwAAAAJ&pagesize=100&citation_for_view=8DESGtwAAAAJ:4JMBOYKVnBMC",,,1082,1084,4,0.57,2,2,7,"","",""
