Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
273,"R Nasrin, NA Rahim, H Fayaz, M Hasanuzzaman","Water/MWCNT nanofluid based cooling system of PVT: Experimental and numerical research",2018,"Renewable energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2163698288382489763",1,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:fPk4N6BV_jEC",121,,286,300,273,39.00,68,4,7,"","",""
199,"H Fayaz, NA Rahim, M Hasanuzzaman, R Nasrin, A Rivai","Numerical and experimental investigation of the effect of operating conditions on performance of PVT and PVT-PCM",2019,"Renewable Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8205310452492831824",3,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:b0M2c_1WBrUC",143,,827,841,199,33.17,40,5,6,"","",""
188,"H Fayaz, NA Rahim, M Hasanuzzaman, A Rivai, R Nasrin","Numerical and outdoor real time experimental investigation of performance of PCM based PVT system",2019,"Solar Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16574903180566251294",5,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:a0OBvERweLwC",179,,135,150,188,31.33,38,5,6,"","",""
195,"H Fayaz, R Nasrin, NA Rahim, M Hasanuzzaman","Energy and exergy analysis of the PVT system: Effect of nanofluid flow rate",2018,"Solar Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16149481957766107333",4,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:dfsIfKJdRG4C",169,,217,230,195,27.86,49,4,7,"","",""
206,"S Parvin, R Nasrin, MA Alim","Heat transfer and entropy generation through nanofluid filled direct absorption solar collector",2014,"International Journal of Heat and Mass Transfer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9463805970844318695",2,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:eQOLeE2rZwMC",71,,386,395,206,18.73,69,3,11,"","",""
121,"R Nasrin, M Hasanuzzaman, NA Rahim","Effect of high irradiation and cooling on power, energy and performance of a PVT system",2018,"Renewable energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16992440751103102167",7,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:rO6llkc54NcC",116,,552,569,121,17.29,40,3,7,"","",""
95,"R Nasrin, M Hasanuzzaman, NA Rahim","Effect of high irradiation on photovoltaic power and energy",2018,"International Journal of Energy Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12500714447911195812",10,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:zA6iFVUQeVQC",42,3,1115,1131,95,13.57,32,3,7,"","",""
157,"S Parvin, R Nasrin, MA Alim, NF Hossain, AJ Chamkha","Thermal conductivity variation on natural convection flow of water–alumina nanofluid in an annulus",2012,"International Journal of Heat and Mass Transfer 55 (19-20)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16303943513995836721",6,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:2osOgNQ5qMEC",,,5268,5274,157,12.08,31,5,13,"","",""
35,"I Zahan, R Nasrin, S Khatun","Thermal performance of ternary-hybrid nanofluids through a convergent-divergent nozzle using distilled water-ethylene glycol mixtures",2022,"International Communications in Heat and Mass Transfer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13114419117771452275",26,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:q3oQSFYPqjQC",137,,106254,106254,35,11.67,12,3,3,"","",""
63,"R Nasrin, M Hasanuzzaman, NA Rahim","Effect of nanofluids on heat transfer and cooling system of the photovoltaic/thermal performance",2019,"International Journal of Numerical Methods for Heat &Fluid Flow 29 (6 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2349489406287028500",15,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:EUQCXRtRnyEC",,,,,63,10.50,21,3,6,"","",""
31,"SS Priam, R Nasrin","Numerical appraisal of time-dependent peristaltic duct flow using Casson fluid",2022,"International Journal of Mechanical Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9330107689796572246",29,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:wbdj-CoPYUoC",233,,107676,107676,31,10.33,16,2,3,"","",""
30,"MM Hasan, MJ Uddin, R Nasrin","Exothermic chemical reaction of magneto-convective nanofluid flow in a square cavity",2022,"International Journal of Thermofluids","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6518131493116490097",30,"2025-03-24 02:18:24","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8GqJsfIAAAAJ&pagesize=100&citation_for_view=8GqJsfIAAAAJ:bnK-pcrLprsC",16,,100236,100236,30,10.00,10,3,3,"","",""
