Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
501,"MR Islam, MA Kabir, A Ahmed, ARM Kamal, H Wang, A Ulhaq","Depression detection from social network data using machine learning techniques",2018,"Health information science and systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11509404644094373065",1,"2025-03-24 02:17:30","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:0EnyYjriUFMC",6,,1,12,501,71.57,84,6,7,"","",""
314,"MR Islam, S Liu, X Wang, G Xu","Deep learning for misinformation detection on online social networks: a survey and new perspectives",2020,"Social Network Analysis and Mining","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10749986561559318050",2,"2025-03-24 02:17:30","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:9ZlFYXVOiuMC",10,1,82,82,314,62.80,79,4,5,"","",""
82,"KM Hasib, MR Islam, S Sakib, MA Akbar, I Razzak, MS Alam","Depression detection from social networks data based on machine learning and deep learning techniques: An interrogative survey",2023,"IEEE Transactions on Computational Social Systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=848870464668508242",4,"2025-03-24 02:17:30","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:08ZZubdj9fEC",10,4,1568,1586,82,41.00,14,6,2,"","",""
52,"A Matin, MR Islam, X Wang, H Huo, G Xu","AIoT for sustainable manufacturing: Overview, challenges, and opportunities",2023,"Internet of Things","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10409326828233048292",6,"2025-03-24 02:17:30","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:geHnlv5EZngC",24,,100901,100901,52,26.00,10,5,2,"","",""
66,"KM Hasib, NA Towhid, MR Islam","Hsdlm: a hybrid sampling with deep learning method for imbalanced data classification",2021,"International Journal of Cloud Applications and Computing (IJCAC)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10305582682809994486",5,"2025-03-24 02:17:30","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:_Qo2XoVZTnwC",11,4,1,13,66,16.50,22,3,4,"","",""
44,"S AbuSalim, N Zakaria, MR Islam, G Kumar, N Mokhtar, SJ Abdulkadir","Analysis of deep learning techniques for dental informatics: a systematic literature review",2022,"Healthcare","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14145608706225914267",7,"2025-03-24 02:17:30","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:yD5IFk8b50cC",10,10,1892,1892,44,14.67,7,6,3,"","",""
14,"SA Prome, NA Ragavan, MR Islam, D Asirvatham, AJ Jegathesan","Deception detection using machine learning (ML) and deep learning (DL) techniques: A systematic review",2024,"Natural Language Processing Journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14952617154157895272",20,"2025-03-24 02:17:30","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:V3AGJWp-ZtQC",6,,100057,100057,14,14.00,3,5,1,"","",""
95,"MR Islam, ARM Kamal, N Sultana, R Islam, MA Moni","Detecting depression using k-nearest neighbors (knn) classification technique",2018,"2018 International Conference on Computer, Communication, Chemical, Material …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5526601566536051311",3,"2025-03-24 02:17:30","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:UebtZRa9Y70C",,,,,95,13.57,19,5,7,"","",""
23,"X Huang, MR Islam, S Akter, F Ahmed, E Kazami, HA Serhan, ...","Artificial intelligence in glaucoma: opportunities, challenges, and future directions",2023,"BioMedical Engineering OnLine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16443815742690744208",12,"2025-03-24 02:17:30","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:eJXPG6dFmWUC",22,1,126,126,23,11.50,3,7,2,"","",""
44,"MR Islam, S Liu, R Biddle, I Razzak, X Wang, P Tilocca, G Xu","Discovering dynamic adverse behavior of policyholders in the life insurance industry",2021,"Technological Forecasting and Social Change","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17607792533413701524",8,"2025-03-24 02:17:30","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8vlRxUIAAAAJ&pagesize=100&citation_for_view=8vlRxUIAAAAJ:qxL8FJ1GzNcC",163,,120486,120486,44,11.00,6,7,4,"","",""
