Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
40,"AK Azad, S Parvin","Photovoltaic thermal (PV/T) performance analysis for different flow regimes: A comparative numerical study",2023,"International Journal of Thermofluids","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9291234121847563249",15,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:V3AGJWp-ZtQC",18,,100319,100319,40,20.00,20,2,2,"","",""
58,"AK Azad, S Parvin","Bibliometric analysis of photovoltaic thermal (PV/T) system: From citation mapping to research agenda",2022,"Energy Reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11846482096308281732",9,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:wbdj-CoPYUoC",8,,2699,2711,58,19.33,29,2,3,"","",""
206,"S Parvin, R Nasrin, MA Alim","Heat transfer and entropy generation through nanofluid filled direct absorption solar collector",2014,"International Journal of Heat and Mass Transfer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9463805970844318695",1,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:W7OEmFMy1HYC",71,,386,395,206,18.73,69,3,11,"","",""
190,"S Parvin, AJ Chamkha","An analysis on free convection flow, heat transfer and entropy generation in an odd-shaped cavity filled with nanofluid",2014,"International Communications in Heat and Mass Transfer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17999965078111159357",2,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:zYLM7Y9cAGgC",54,,8,17,190,17.27,95,2,11,"","",""
90,"A Nahar, M Hasanuzzaman, NA Rahim, S Parvin","Numerical investigation on the effect of different parameters in enhancing heat transfer performance of photovoltaic thermal systems",2019,"Renewable Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6281517900172401100",6,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:NhqRSupF_l8C",132,,284,295,90,15.00,23,4,6,"","",""
157,"S Parvin, R Nasrin, MA Alim, NF Hossain, AJ Chamkha","Thermal conductivity variation on natural convection flow of water–alumina nanofluid in an annulus",2012,"International Journal of Heat and Mass Transfer 55 (19-20)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16303943513995836721",3,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:9yKSN-GCB0IC",,,5268,5274,157,12.08,31,5,13,"","",""
105,"R Nasrin, S Parvin","Investigation of buoyancy-driven flow and heat transfer in a trapezoidal cavity filled with water–Cu nanofluid",2012,"International Communications in Heat and Mass Transfer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11883582430574127433",5,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:d1gkVwhDpl0C",39,2,270,274,105,8.08,53,2,13,"","",""
107,"MM Rahman, S Parvin, R Saidur, NA Rahim","Magnetohydrodynamic mixed convection in a horizontal channel with an open cavity",2011,"International Communications in Heat and Mass Transfer","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1619289048026555940",4,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:u5HHmVD_uO8C",38,2,184,193,107,7.64,27,4,14,"","",""
80,"MM Rahman, S Parvin, NA Rahim, MR Islam, R Saidur, M Hasanuzzaman","Effects of Reynolds and Prandtl number on mixed convection in a ventilated cavity with a heat-generating solid circular block",2012,"Applied Mathematical Modelling","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2293801429992669190",8,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:UeHWp8X0CEIC",36,5,2056,2066,80,6.15,13,6,13,"","",""
6,"AK Azad, S Parvin, T Hossain","Performance evaluation of nanofluid-based photovoltaic thermal (PVT) system with regression analysis",2024,"Heliyon","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18127875418280661268",47,"2025-03-24 02:18:52","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Chou2i8AAAAJ&pagesize=100&citation_for_view=Chou2i8AAAAJ:LjlpjdlvIbIC",10,7,,,6,6.00,2,3,1,"","",""
