Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2364,"R Saidur, KY Leong, HA Mohammed","A review on applications and challenges of nanofluids",2011,"Renewable and sustainable energy reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17420164747564475943",1,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&pagesize=100&citation_for_view=DEy33GsAAAAJ:_kc_bZDykSQC",15,3,1646,1668,2364,168.86,788,3,14,"","",""
2089,"R Saidur, EA Abdelaziz, A Demirbas, MS Hossain, S Mekhilef","A review on biomass as a fuel for boilers",2011,"Renewable and sustainable energy reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1526928127438644048",2,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&pagesize=100&citation_for_view=DEy33GsAAAAJ:T3x1S4x-kFYC",15,5,2262,2289,2089,149.21,418,5,14,"","",""
913,"MT Islam, N Huda, AB Abdullah, R Saidur","A comprehensive review of state-of-the-art concentrating solar power (CSP) technologies: Current status and research trends",2018,"Renewable and Sustainable Energy Reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18395179602971918617",12,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&pagesize=100&citation_for_view=DEy33GsAAAAJ:GU5qFXB69o4C",91,,987,1018,913,130.43,228,4,7,"","",""
252,"M Amir, RG Deshmukh, HM Khalid, Z Said, A Raza, SM Muyeen, ...","Energy storage technologies: An integrated survey of developments, global economical/environmental effects, optimal scheduling model, and sustainable adaption policies",2023,"Journal of Energy Storage","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13742618284852868986",76,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&pagesize=100&citation_for_view=DEy33GsAAAAJ:zVSo-THGCDcC",72,,108694,108694,252,126.00,36,7,2,"","",""
1544,"KH Solangi, MR Islam, R Saidur, NA Rahim, H Fayaz","A review on global solar energy policy",2011,"Renewable and sustainable energy reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4985939240219467829",3,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&pagesize=100&citation_for_view=DEy33GsAAAAJ:Fp1gVP7Oym8C",15,4,2149,2163,1544,110.29,309,5,14,"","",""
1470,"A Ghadimi, R Saidur, HSC Metselaar","A review of nanofluid stability properties and characterization in stationary conditions",2011,"International journal of heat and mass transfer 54 (17-18)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11879883396973774130",4,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&pagesize=100&citation_for_view=DEy33GsAAAAJ:yG35QFzCZWcC",,,4051,4068,1470,105.00,490,3,14,"","",""
1146,"AS Ahmad, MY Hassan, MP Abdullah, HA Rahman, F Hussin, H Abdullah, ...","A review on applications of ANN and SVM for building electrical energy consumption forecasting",2014,"Renewable and Sustainable Energy Reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8676780665506186311",8,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&pagesize=100&citation_for_view=DEy33GsAAAAJ:adgdM4TzidAC",33,,102,109,1146,104.18,164,7,11,"","",""
100,"H Meskher, T Ragdi, AK Thakur, S Ha, I Khelfaoui, R Sathyamurthy, ...","A review on CNTs-based electrochemical sensors and biosensors: unique properties and potential applications",2024,"Critical reviews in analytical chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12189607889059459555",192,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&cstart=100&pagesize=100&citation_for_view=DEy33GsAAAAJ:o84qWK9PV5cC",54,7,2398,2421,100,100.00,14,7,1,"","",""
1384,"S Mekhilef, R Saidur, A Safari","A review on solar energy use in industries",2011,"Renewable and sustainable energy reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11472141829889634742",5,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&pagesize=100&citation_for_view=DEy33GsAAAAJ:_UIRw3K-QSMC",15,4,1777,1790,1384,98.86,461,3,14,"","",""
1276,"S Mekhilef, R Saidur, A Safari","Comparative study of different fuel cell technologies",2012,"Renewable and Sustainable Energy Reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9363969209781926264",6,"2025-03-24 02:20:03","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DEy33GsAAAAJ&pagesize=100&citation_for_view=DEy33GsAAAAJ:cwugQcE3IssC",16,1,981,989,1276,98.15,425,3,13,"","",""
