Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
318,"T Hossain, FS Shishir, M Ashraf, MDA Al Nasim, FM Shah","Brain tumor detection using convolutional neural network",2019,"2019 1st international conference on advances in science, engineering and …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10315031793445629859",1,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:W7OEmFMy1HYC",,,,,318,53.00,64,5,6,"","",""
67,"FM Shah, SKS Joy, F Ahmed, T Hossain, M Humaira, AS Ami, S Paul, ...","A comprehensive survey of COVID-19 detection using medical images",2021,"SN Computer Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6684631972669027183",2,"2025-03-24 01:59:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:d1gkVwhDpl0C",2,6,434,434,67,16.75,8,8,4,"","",""
43,"S Islam, A Dash, A Seum, AH Raj, T Hossain, FM Shah","Exploring video captioning techniques: A comprehensive survey on deep learning methods",2021,"SN Computer Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9974092156979181712",3,"2025-03-24 01:59:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:Y0pCki6q_DkC",2,2,1,28,43,10.75,7,6,4,"","",""
39,"S Ahmed, T Hossain, OB Hoque, S Sarker, S Rahman, FM Shah","Automated covid-19 detection from chest x-ray images: a high-resolution network (hrnet) approach",2021,"SN computer science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12359080463669922230,13974548880887915367",4,"2025-03-24 01:59:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:WF5omc3nYNoC",2,4,294,294,39,9.75,7,6,4,"","",""
25,"A Seum, AH Raj, S Sakib, T Hossain","A comparative study of cnn transfer learning classification algorithms with segmentation for COVID-19 detection from CT scan images",2020,"2020 11th International Conference on Electrical and Computer Engineering …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4230518088538823116",5,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:qjMakFHDy7sC",,,,,25,5.00,6,4,5,"","",""
9,"N Jayakumar, T Hossain, M Zhang","SADIR: shape-aware diffusion models for 3D image reconstruction",2023,"International workshop on shape in medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7807040124797649397",8,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:kNdYIx-mwKoC",,,287,300,9,4.50,3,3,2,"","",""
20,"FM Shah, T Hossain, M Ashraf, FS Shishir, MA Al Nasim, MH Kabir","Brain tumor segmentation techniques on medical images-a review",2019,"Int. J. Sci. Eng. Res","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2214581566601437891",6,"2025-03-24 01:59:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:UeHWp8X0CEIC",10,2,1514,1525,20,3.33,3,6,6,"","",""
11,"S Sarker, S Rahman, T Hossain, S Faiza Ahmed, L Jamal, MAR Ahad","Skeleton-based activity recognition: Preprocessing and approaches",2021,"Contactless Human Activity Analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12359519201934155406",7,"2025-03-24 01:59:35","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:ufrVoPGSRksC",,,43,81,11,2.75,2,6,4,"","",""
7,"T Hossain, S Sarker, S Rahman, MAR Ahad","Skeleton-based human action recognition on large-scale datasets",2021,"Vision, Sensing and Analytics: Integrative Approaches","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5745664954188323577",10,"2025-03-24 01:59:35","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:IjCSPb-OGe4C",,,125,146,7,1.75,2,4,4,"","",""
7,"S Maitra, T Hossain, KM Hasib, FS Shishir","Graph theory for dimensionality reduction: A case study to prognosticate parkinson's",2020,"2020 11th IEEE Annual Information Technology, Electronics and Mobile …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3960445230909462912",11,"2025-03-24 01:59:35","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:9yKSN-GCB0IC",,,,,7,1.40,2,4,5,"","",""
8,"T Hossain, FS Shishir, FM Shah","A novel approach to classify bangla sign digits using capsule network",2019,"2019 22nd International Conference on Computer and Information Technology …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6862873801880844615",9,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:zYLM7Y9cAGgC",,,,,8,1.33,3,3,6,"","",""
6,"FS Shishir, T Hossain, FM Shah","Esharagan: An approach to generate disentangle representation of sign language using infogan",2020,"2020 IEEE Region 10 Symposium (TENSYMP)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11532724690583133121",12,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:eQOLeE2rZwMC",,,1383,1386,6,1.20,2,3,5,"","",""
1,"T Hossain, M Zhang","MGAug: Multimodal Geometric Augmentation in latent spaces of image deformations",2025,"Medical Image Analysis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15786298374937774001",16,"2025-03-24 01:59:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:aqlVkmm33-oC",103540,,,,1,1.00,1,2,1,"","",""
1,"T Hossain, J Ma, J Li, M Zhang","Invariant Shape Representation Learning For Image Classification",2024,"arXiv preprint arXiv:2411.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=741181975887805113",17,"2025-03-24 01:59:35","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:4TOpqqG69KYC",12201,,,,1,1.00,0,4,1,"","",""
3,"F Elahee, F Mim, FB Naquib, S Tabassom, T Hossain, KA Kalpoma","Comparative Study of Deep Learning Based Finger Vein Biometric Authentication Systems",2020,"2020 2nd International Conference on Advanced Information and Communication …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8292319748006887338",13,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:Tyk-4Ss8FVUC",,,,,3,0.60,1,6,5,"","",""
3,"S Maitra, T Hosain, A Al-Sakin, FM Shah","Artificial Prognosis of Cardiac Disease using an NN: A Data-scientific Approach in Outlier Handling",2019,"2019 4th International Conference on Electrical Information and …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14092443141655132211",14,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:5nxA0vEk-isC",,,,,3,0.50,1,4,6,"","",""
2,"S Maitra, N Akter, A Zahan Mithila, T Hossain, M Shafiul Alam","Apriori-backed fuzzy unification and statistical inference in feature reduction: An application in prognosis of autism in toddlers",2021,"Progress in Advanced Computing and Intelligent Engineering: Proceedings of …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3525129974592197774",15,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:YsMSGLbcyi4C",,,,,2,0.50,0,5,4,"","",""
1,"T Hossain, Z Qureshi, N Jayakumar, TE Muttikkal, S Patel, D Schiff, ...","Multimodal Deep Learning to Differentiate Tumor Recurrence from Treatment Effect in Human Glioblastoma",2023,"2023 IEEE 20th International Symposium on Biomedical Imaging (ISBI)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=677956743116997424",18,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:KlAtU1dfN6UC",,,1,4,1,0.50,0,7,2,"","",""
1,"FB Naquib, S Tabassom, F Elahee, F Mim, T Hossain, KA Kalpoma","Modified Maximum Curvature Method (MMCM) and Logistic Regression: a hybrid architecture for finger vein biometric recognition system",2020,"2020 23rd International Conference on Computer and Information Technology …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4053642385751641963",19,"2025-03-24 01:59:35","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:2osOgNQ5qMEC",,,,,1,0.20,0,6,5,"","",""
1,"S Maitra, T Hossain, A Al-Sakin, S Inzamamuzzaman, MMO Rashid, ...","A Gender-neutral Approach to Detect Early Alzheimer’s Disease Applying a Three-layer NN",2019,"International Journal of Advanced Computer Science and Applications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11785267942972548850",20,"2025-03-24 01:59:35","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:_FxGoFyzp5QC",10,3,,,1,0.17,0,6,6,"","",""
0,"N Jayakumar, SR Gadila, T Hossain, Y Ji, M Zhang","TPIE: Topology-Preserved Image Editing With Text Instructions",2024,"arXiv preprint arXiv:2411.","","","https://scholar.google.com",21,"2025-03-24 01:59:35","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:4DMP91E08xMC",16714,,,,0,0.00,0,5,1,"","",""
0,"N Jayakumar, J Xing, T Hossain, F Epstein, K Bilchick, M Zhang","Activation From Sparse 2D Cardiac MRIs",2023,"Machine Learning for Health (ML4H)","","","https://scholar.google.com",22,"2025-03-24 01:59:35","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:ULOm3_A8WrAC",,,190,200,0,0.00,0,6,2,"","",""
0,"MNI Miah, M Nasim, GK Bose, T Hossain","An alternative approach to estimate leaf area and leaf dry weight in blackgram (Vigna mungo (L.) Wilczek).",1998,"","","","https://scholar.google.com",23,"2025-03-24 01:59:35","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:mVmsd5A6BfQC",,,,,0,0.00,0,4,27,"","",""
0,"T Hossain, M Zhang","ToRL: Topology-preserving Representation Learning Of Object Deformations From Images",,"","","","https://scholar.google.com",24,"2025-03-24 01:59:35","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:Wp0gIr-vW9MC",,,,,0,0.00,0,2,,"","",""
0,"F Amreen, MG Muktadir, T Hossain, N Sakib","A Proposal of Weight based Similarities Hybrid Algorithm on Social Media Posts through Crowdsourcing to Achieve High Performance Recommendation",,"","","","https://scholar.google.com",25,"2025-03-24 01:59:35","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JoLJE7AAAAAJ&pagesize=100&citation_for_view=JoLJE7AAAAAJ:u-x6o8ySG0sC",,,,,0,0.00,0,4,,"","",""
