Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"PK Nandi, MRI Reaj, S Sarker, MA Razzaque, M Mamun-or-Rashid, ...","Task offloading to edge cloud balancing utility and cost for energy harvesting internet of things",2024,"Journal of Network and Computer Applications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8068639954085841644",15,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:4DMP91E08xMC",221,,103766,103766,16,16.00,3,6,1,"","",""
48,"P Roy, S Sarker, MA Razzaque, M Mamun-or-Rashid, MM Hassan, ...","Distributed task allocation in mobile device cloud exploiting federated learning and subjective logic",2021,"Journal of Systems Architecture","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10134719339288368460",2,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:aqlVkmm33-oC",113,,101972,101972,48,12.00,8,6,4,"","",""
134,"MA Razzaque, MM Alam, M Mamun-Or-Rashid, CS Hong","Multi-constrained QoS geographic routing for heterogeneous traffic in sensor networks",2008,"IEICE transactions on communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13358167597007573031",1,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:u5HHmVD_uO8C",91,8,2589,2601,134,7.88,34,4,17,"","",""
7,"S Brotee, F Kabir, MA Razzaque, P Roy, M Mamun-Or-Rashid, ...","Optimizing UAV-UGV coalition operations: A hybrid clustering and multi-agent reinforcement learning approach for path planning in obstructed environment",2024,"Ad Hoc Networks","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7605796138550883020",26,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:M3ejUd6NZC8C",160,,103519,103519,7,7.00,1,6,1,"","",""
47,"MA Habib, S Saha, MA Razzaque, M Mamun-or-Rashid, G Fortino, ...","Starfish routing for sensor networks with mobile sink",2018,"Journal of Network and Computer Applications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5496211775194512867",3,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:hFOr9nPyWt4C",123,,11,22,47,6.71,8,6,7,"","",""
30,"MA Hasnat, STA Rumee, MA Razzaque, M Mamun-Or-Rashid","Security study of 5G heterogeneous network: current solutions, limitations &future direction",2019,"2019 International Conference on Electrical, Computer and Communication …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=962381155948760100",5,"2025-03-24 02:04:17","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:IWHjjKOFINEC",,,,,30,5.00,8,4,6,"","",""
9,"A Tahsin, P Roy, MA Razzaque, M Mamun-Or-Rashid, M Siraj, ...","Energy cooperation among sustainable base stations in multi-operator cellular networks",2023,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3439804198895795684",21,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:Wp0gIr-vW9MC",11,,19405,19417,9,4.50,2,6,2,"","",""
4,"N Nujhat, F Haque Shanta, S Sarker, P Roy, MA Razzaque, ...","Task offloading exploiting grey wolf optimization in collaborative edge computing",2024,"Journal of Cloud Computing","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1383875438109135026",33,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:qUcmZB5y_30C",13,1,23,23,4,4.00,1,6,1,"","",""
17,"MA Habib, S Saha, MA Razzaque, M Mamun-Or-Rashid, MM Hassan, ...","Lifetime maximization of sensor networks through optimal data collection scheduling of mobile sink",2020,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2151436715518467469",14,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:7PzlFSSx8tAC",8,,163878,163893,17,3.40,3,6,5,"","",""
36,"M Ashrafuddin, MM Islam, M Mamun-or-Rashid","Energy efficient fitness based routing protocol for underwater sensor network",2013,"International Journal of Intelligent Systems and Applications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4859543473973687176",4,"2025-03-24 02:04:17","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OUanlWAAAAAJ&pagesize=100&citation_for_view=OUanlWAAAAAJ:YsMSGLbcyi4C",5,6,61,69,36,3.00,12,3,12,"","",""
