Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
501,"MR Islam, MA Kabir, A Ahmed, ARM Kamal, H Wang, A Ulhaq","Depression detection from social network data using machine learning techniques",2018,"Health information science and systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11509404644094373065",1,"2025-03-24 02:17:01","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:gsN89kCJA0AC",6,,1,12,501,71.57,84,6,7,"","",""
267,"MJM Chowdhury, A Colman, MA Kabir, J Han, P Sarda","Blockchain versus database: A critical analysis",2018,"2018 17th IEEE International conference on trust, security and privacy in …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15337830813623689620",2,"2025-03-24 02:17:01","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:tuHXwOkdijsC",,,,,267,38.14,53,5,7,"","",""
113,"NK Chowdhury, MA Kabir, MM Rahman, SMS Islam","Machine learning for detecting COVID-19 from cough sounds: An ensemble-based MCDM method",2022,"Computers in Biology and Medicine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1497961697019385772",5,"2025-03-24 02:17:01","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:6ZxmRoH8BuwC",145,,105405,105405,113,37.67,28,4,3,"","",""
35,"M Uddin, A Chowdhury, MA Kabir","Legal and ethical aspects of deploying artificial intelligence in climate-smart agriculture",2024,"AI &SOCIETY","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9335201469059126551",24,"2025-03-24 02:17:01","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:OTTXONDVkokC",39,1,221,234,35,35.00,12,3,1,"","",""
62,"N Faruqui, MA Yousuf, M Whaiduzzaman, AKM Azad, SA Alyami, P Liò, ...","SafetyMed: A novel IoMT intrusion detection system using CNN-LSTM hybridization",2023,"Electronics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3377123487481413926",11,"2025-03-24 02:17:01","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:LhH-TYMQEocC",12,17,3541,3541,62,31.00,9,7,2,"","",""
28,"NA Sharma, ABMS Ali, MA Kabir","A review of sentiment analysis: tasks, applications, and deep learning techniques",2024,"International journal of data science and analytics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5596248441741662823",28,"2025-03-24 02:17:01","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:sJsF-0ZLhtgC",,,1,38,28,28.00,9,3,1,"","",""
74,"ME Hossain, MA Kabir, L Zheng, DL Swain","A systematic review of machine learning techniques for cattle identification: Datasets, methods and future directions",2022,"Artificial Intelligence in Agriculture","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10992752564850457286,2674311805658843650",10,"2025-03-24 02:17:01","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:4vMrXwiscB8C",,,,,74,24.67,19,4,3,"","",""
98,"MD Hossain, MA Kabir, A Anwar, MZ Islam","Detecting autism spectrum disorder using machine learning techniques: An experimental analysis on toddler, child, adolescent and adult datasets",2021,"Health Information Science and Systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11388678060002776513",7,"2025-03-24 02:17:01","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:edDO8Oi4QzsC",9,,1,13,98,24.50,25,4,4,"","",""
117,"NK Chowdhury, MM Rahman, MA Kabir","PDCOVIDNet: a parallel-dilated convolutional neural network architecture for detecting COVID-19 from chest X-ray images",2020,"Health information science and systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14787468399529624957",3,"2025-03-24 02:17:01","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:PoWvk5oyLR8C",8,1,27,27,117,23.40,39,3,5,"","",""
107,"S Arif, MA Khan, SU Rehman, MA Kabir, M Imran","Investigating smart home security: Is blockchain the answer?",2020,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8802318670529268571",6,"2025-03-24 02:17:01","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QsKnuRYAAAAJ&pagesize=100&citation_for_view=QsKnuRYAAAAJ:SpbeaW3--B0C",8,,117802,117816,107,21.40,21,5,5,"","",""
