Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
318,"T Hossain, FS Shishir, M Ashraf, MDA Al Nasim, FM Shah","Brain tumor detection using convolutional neural network",2019,"2019 1st international conference on advances in science, engineering and …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10315031793445629859",1,"2025-03-23 16:54:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:2osOgNQ5qMEC",,,,,318,53.00,64,5,6,"","",""
37,"MDAA Nasim, AA Munem, M Islam, MAH Palash, MDMA Haque, FM Shah","Brain Tumor Segmentation using Enhanced U-Net Model with Empirical Analysis",2023,"2022 ICCIT ( 25th International Conference on Computer and Information …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15229617915042697486,1417947819779797833",2,"2025-03-23 16:54:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:4TOpqqG69KYC",,,,,37,18.50,6,6,2,"","",""
35,"A Biswas, N Md Abdullah Al, A Imran, AT Sejuty, F Fairooz, S Puppala, ...","Generative adversarial networks for data augmentation",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9579430514940149198",3,"2025-03-23 16:54:28","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:L8Ckcad2t8MC",,,159,177,35,17.50,5,7,2,"","",""
13,"P Biswas, A Rashid, A Biswas, MAA Nasim, S Chakraborty, KD Gupta, ...","AI-driven approaches for optimizing power consumption: a comprehensive survey",2024,"Discover Artificial Intelligence","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5806275886448318569",9,"2025-03-23 16:54:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:R3hNpaxXUhUC",4,1,116,116,13,13.00,2,7,1,"","",""
12,"MM Rahman, MZB Jahangir, A Rahman, M Akter, MDAA Nasim, ...","Breast cancer detection and localizing the mass area using deep learning",2024,"Big Data and Cognitive Computing","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2874996981711196688",10,"2025-03-23 16:54:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:_Qo2XoVZTnwC",8,7,80,80,12,12.00,2,6,1,"","",""
18,"SKMS Islam, MAA Nasim, I Hossain, DMA Ullah, DKD Gupta, ...","Introduction of medical imaging modalities",2023,"Data driven approaches on medical imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=749452656367152795",6,"2025-03-23 16:54:28","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:QIV2ME_5wuYC",,,1,25,18,9.00,3,6,2,"","",""
9,"A Rashid, P Biswas, A Biswas, MD Nasim, KD Gupta, R George","Present and Future of AI in Renewable Energy Domain: A Comprehensive Survey",2024,"arXiv preprint arXiv:2406.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17380891348046422204",12,"2025-03-23 16:54:28","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:e5wmG9Sq2KIC",16965,,,,9,9.00,2,6,1,"","",""
21,"A Ashrafee, AM Khan, MS Irbaz, A Nasim, MD Abdullah","Real-time Bangla License Plate Recognition System for Low Resource Video-based Applications",2022,"(2022 WACV) Proceedings of the IEEE/CVF Winter Conference on Applications of …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8293706368106073040",4,"2025-03-23 16:54:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:kNdYIx-mwKoC",,,,,21,7.00,4,5,3,"","",""
14,"MD Nasim, A Dhali, F Afrin, NT Zaman, N Karim","The Prominence of Artificial Intelligence in COVID-19",2022,"arXiv preprint arXiv:2111.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8653215156427312353",8,"2025-03-23 16:54:28","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:0EnyYjriUFMC",9537,,,,14,4.67,3,5,3,"","",""
18,"MAH Palash, MD Nasim, S Saha, F Afrin, R Mallik, S Samiappan","Bangla Image Caption Generation through CNN-Transformer based Encoder-Decoder Network",2021,"2021 IC4IR (International Conference on Fourth Industrial Revolution)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12156259647412159503,2802015586557144295",7,"2025-03-23 16:54:28","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:roLk4NBRz8UC",,,,,18,4.50,3,6,4,"","",""
9,"A Biswas, NM Abdullah Al, MS Ali, I Hossain, MA Ullah, S Talukder","Active learning on medical image",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8220206322745053852",13,"2025-03-23 16:54:28","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:7PzlFSSx8tAC",,,51,67,9,4.50,2,6,2,"","",""
20,"FM Shah, T Hossain, M Ashraf, FS Shishir, MDA Al Nasim, MH Kabir","Brain Tumor Segmentation Techniques on Medical Images-A Review",2019,"International Journal of Scientific &Engineering Research — IJSER 10 (2 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2214581566601437891",5,"2025-03-23 16:54:28","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:9yKSN-GCB0IC",,,,,20,3.33,3,6,6,"","",""
6,"S Sarker, A Biswas, NMA Al, MS Ali, S Puppala, S Talukder","Case studies on x-ray imaging, mri and nuclear imaging",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16685016960300133156",17,"2025-03-23 16:54:28","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zQKHA64AAAAJ&pagesize=100&citation_for_view=zQKHA64AAAAJ:ZeXyd9-uunAC",,,207,225,6,3.00,1,6,2,"","",""
