Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
35,"A Biswas, N Md Abdullah Al, A Imran, AT Sejuty, F Fairooz, S Puppala, ...","Generative adversarial networks for data augmentation",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9579430514940149198",2,"2025-03-24 01:57:38","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:Tyk-4Ss8FVUC",,,159,177,35,17.50,5,7,2,"","",""
13,"P Biswas, A Rashid, A Biswas, MAA Nasim, S Chakraborty, KD Gupta, ...","AI-driven approaches for optimizing power consumption: a comprehensive survey",2024,"Discover Artificial Intelligence","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5806275886448318569",6,"2025-03-24 01:57:38","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:roLk4NBRz8UC",4,1,116,116,13,13.00,2,7,1,"","",""
39,"A Biswas, MS Islam","Brain tumor types classification using K-means clustering and ANN approach",2021,"2021 2nd International Conference on Robotics, Electrical and Signal …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13513082184981099586",1,"2025-03-24 01:57:38","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:9yKSN-GCB0IC",,,,,39,9.75,20,2,4,"","",""
9,"A Rashid, P Biswas, A Biswas, MD Nasim, KD Gupta, R George","Present and Future of AI in Renewable Energy Domain: A Comprehensive Survey",2024,"arXiv preprint arXiv:2406.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17380891348046422204",7,"2025-03-24 01:57:38","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:Se3iqnhoufwC",16965,,,,9,9.00,2,6,1,"","",""
33,"A Biswas, M Islam, Saiful","An Efficient CNN Model for Automated Digital Handwritten Digit Classification",2021,"Journal of Information Systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6177277488779952504",3,"2025-03-24 01:57:38","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:2osOgNQ5qMEC",42,,,,33,8.25,11,3,4,"","",""
15,"A Biswas, MS Islam","A Hybrid Deep CNN-SVM Approach for Brain Tumor Classification.",2023,"Journal of Information Systems Engineering &Business Intelligence","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12705569515431160767",5,"2025-03-24 01:57:38","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:Y0pCki6q_DkC",9,1,,,15,7.50,8,2,2,"","",""
25,"A Biswas, S Abedin, MA Kabir","Moving object detection using ultrasonic radar with proper distance, direction, and object shape analysis",2020,"Journal of Information Systems Engineering and Business Intelligence 6 (2 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5492366649294627066",4,"2025-03-24 01:57:38","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:u5HHmVD_uO8C",,,,,25,5.00,8,3,5,"","",""
9,"A Biswas, NM Abdullah Al, MS Ali, I Hossain, MA Ullah, S Talukder","Active learning on medical image",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8220206322745053852",8,"2025-03-24 01:57:38","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:IjCSPb-OGe4C",,,51,67,9,4.50,2,6,2,"","",""
6,"S Sarker, A Biswas, NMA Al, MS Ali, S Puppala, S Talukder","Case studies on x-ray imaging, mri and nuclear imaging",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16685016960300133156",11,"2025-03-24 01:57:38","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:W7OEmFMy1HYC",,,207,225,6,3.00,1,6,2,"","",""
5,"TT Jidney, A Biswas, NM Abdullah Al, I Hossain, MJ Alam, S Talukder, ...","Automl systems for medical imaging",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18271716231443767374",12,"2025-03-24 01:57:38","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=woiE2RUAAAAJ&pagesize=100&citation_for_view=woiE2RUAAAAJ:eQOLeE2rZwMC",,,91,106,5,2.50,1,7,2,"","",""
