Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"I Hossain, S Puppala, S Talukder","Collaborative Differentially Private Federated Learning Framework for the Prediction of Diabetic Retinopathy",2023,"2nd IEEE International Conference on AI in Cybersecurity (ICAIC)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1576068760520128201",1,"2025-03-15 01:45:05","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:2osOgNQ5qMEC",,,,,19,9.50,6,3,2,"","",""
17,"SKMS Islam, MA Al Nasim, I Hossain, S Talukder","Introduction of Medical Imaging Modalities",2023,"","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=749452656367152795",2,"2025-03-15 01:45:05","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:eQOLeE2rZwMC",,,,,17,8.50,4,4,2,"","",""
14,"S Puppala, I Hossain, S Talukder","Towards Federated Learning Based Contraband Detection Within Airport Baggage X-Rays",2023,"2022 IEEE International Conference on Machine Learning and Applied Network …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16351347176222717601",3,"2025-03-15 01:45:05","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:d1gkVwhDpl0C",,,,,14,7.00,5,3,2,"","",""
11,"S Talukder, I Hossian, S Puppala","Federated Learning-based Contraband Detection within Airport Baggage X-Rays",2023,"Journal of Computing Sciences in Colleges","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2980469564023560613",4,"2025-03-15 01:45:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:UeHWp8X0CEIC",38,3,218,218,11,5.50,4,3,2,"","",""
9,"A Biswas, NM Abdullah Al, MS Ali, I Hossain, MA Ullah, S Talukder","Active learning on medical image",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8220206322745053852",5,"2025-03-15 01:45:05","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:Tyk-4Ss8FVUC",,,51,67,9,4.50,2,6,2,"","",""
9,"S Talukder, I Hossian, S Puppala","A Novel Hierarchical Federated Learning with Self-Regulated Decentralized Clustering",2023,"Journal of Computing Sciences in Colleges","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=105320682531891152",6,"2025-03-15 01:45:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:IjCSPb-OGe4C",38,3,222,223,9,4.50,3,3,2,"","",""
7,"S Talukder, S Puppala, I Hossain","Prediction of Childhood and Pregnancy Lead Poisoning Using Deep Learning",2023,"Journal of Computing Sciences in Colleges","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=797697274874955469",7,"2025-03-15 01:45:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:qjMakFHDy7sC",38,3,219,219,7,3.50,2,3,2,"","",""
6,"S Puppala, I Hossain, S Talukder","Machine Learning and Sentiment Analysis for Predicting Environmental Lead Toxicity in Children at the ZIP Code Level",2023,"2nd IEEE International Conference on AI in Cybersecurity (ICAIC)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2719218529426376245",8,"2025-03-15 01:45:05","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:zYLM7Y9cAGgC",,,,,6,3.00,2,3,2,"","",""
5,"TT Jidney, A Biswas, MA Al Nasim, MJ Alam, I Hossain, S Talukder","AutoML Systems For Medical Imaging",2023,"","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18271716231443767374",9,"2025-03-15 01:45:05","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:WF5omc3nYNoC",,,,,5,2.50,1,6,2,"","",""
4,"I Hossain, MJ Alam, S Puppala, S Talukder","SocialRec: User Activity Based Post Weighted Dynamic Personalized Post Recommendation System in Social Media",2024,"The 16th International Conference on Advances in Social Networks Analysis …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6591621606809209507",10,"2025-03-15 01:45:05","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FexryyIAAAAJ&pagesize=100&citation_for_view=FexryyIAAAAJ:5nxA0vEk-isC",,,,,4,4.00,1,4,1,"","",""
