Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
57,"S Deb, MF Islam, S Rahman, S Rahman","Graph convolutional networks for assessment of physical rehabilitation exercises",2022,"IEEE Transactions on Neural Systems and Rehabilitation Engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6736154757733293835",2,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:5nxA0vEk-isC",30,,410,419,57,19.00,14,4,3,"","",""
42,"S Rahman, S Sarker, AKMN Haque, MM Uttsha, MF Islam, S Deb","AI-driven Stroke Rehabilitation Systems and Assessment: A Systematic Review",2022,"IEEE Transactions on Neural Systems and Rehabilitation Engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8266609315752060517",4,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:8k81kl-MbHgC",,,,,42,14.00,7,6,3,"","",""
47,"S Rahman, S Sarker, MAA Miraj, RA Nihal, AKM Nadimul Haque, ...","Deep learning–driven automated detection of Covid-19 from radiography images: A comparative analysis",2021,"Cognitive Computation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2650411589353032556",3,"2025-03-24 02:00:19","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:WF5omc3nYNoC",,,1,30,47,11.75,8,6,4,"","",""
22,"M Tareq, MF Islam, S Deb, S Rahman, A Al Mahmud","Data-augmentation for Bangla-English Code-Mixed Sentiment Analysis: Enhancing Cross Linguistic Contextual Understanding",2023,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1444261016485908731",8,"2025-03-24 02:00:19","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:Se3iqnhoufwC",,,,,22,11.00,4,5,2,"","",""
38,"RA Nihal, S Rahman, NM Broti, SA Deowan","Bangla sign alphabet recognition with zero-shot and transfer learning",2021,"Pattern Recognition Letters","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8270141757407515353",5,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:MXK_kJrjxJIC",150,,84,93,38,9.50,10,4,4,"","",""
38,"S Ahmed, T Hossain, OB Hoque, S Sarker, S Rahman, FM Shah","Automated covid-19 detection from chest x-ray images: a high-resolution network (hrnet) approach",2021,"SN computer science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12359080463669922230",6,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:roLk4NBRz8UC",2,4,294,294,38,9.50,6,6,4,"","",""
26,"S Rahman, SF Ahmed, O Shahid, MA Arrafi, MAR Ahad","Automated detection approaches to autism spectrum disorder based on human activity analysis: A review",2022,"Cognitive Computation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18023848397571168362",7,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:4TOpqqG69KYC",14,5,1773,1800,26,8.67,5,5,3,"","",""
65,"A Robles-Kelly, CP Huynh","Imaging spectroscopy for scene analysis",2012,"","Springer Science &Business Media","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1436636991312230505",1,"2025-03-24 02:00:19","Book","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:W7OEmFMy1HYC",,,,,65,5.00,33,2,13,"","",""
13,"SE Arman, S Rahman, SA Deowan","COVIDXception-Net: A Bayesian optimization-based deep learning approach to diagnose COVID-19 from X-Ray images",2022,"SN Computer Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4741370774202095395",11,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:ufrVoPGSRksC",3,2,115,115,13,4.33,4,3,3,"","",""
17,"RA Nihal, NM Broti, SA Deowan, S Rahman","Design and development of a humanoid robot for sign language interpretation",2021,"SN Computer Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4845194463617165438",10,"2025-03-24 02:00:19","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8XhiIEAAAAJ&pagesize=100&citation_for_view=j8XhiIEAAAAJ:hqOjcs7Dif8C",2,,1,17,17,4.25,4,4,4,"","",""
