Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"TT Jidney, A Biswas, NM Abdullah Al, I Hossain, MJ Alam, S Talukder, ...","Automl systems for medical imaging",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18271716231443767374",1,"2025-03-15 01:47:42","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:d1gkVwhDpl0C",,,91,106,5,2.50,1,7,2,"","",""
4,"I Hossain, S Puppala, MJ Alam, S Talukder","Socialrec: User activity based post weighted dynamic personalized post recommendation system in social media",2024,"arXiv preprint arXiv:2407.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6591621606809209507",2,"2025-03-15 01:47:42","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:_FxGoFyzp5QC",9747,,,,4,4.00,1,4,1,"","",""
4,"I Hossain, S Puppala, MJ Alam, S Talukder, Z Talukder","A visual approach to tracking emotional sentiment dynamics in social network commentaries",2024,"Proceedings of the International AAAI Conference on Web and Social Media 18 …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13810402491279919646",3,"2025-03-15 01:47:42","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:WF5omc3nYNoC",,,,,4,4.00,1,5,1,"","",""
4,"I Hossain, S Puppala, MJ Alam, S Talukder","Monitoring dynamics of emotional sentiment in social network commentaries",2023,"Proceedings of the International Conference on Advances in Social Networks …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17709253421611396380",4,"2025-03-15 01:47:42","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:IjCSPb-OGe4C",,,,,4,2.00,1,4,2,"","",""
4,"S Ahmed, MJ Alam, S Talukder, I Hossain","Towards addressing identity deception in social media using bangla text-based gender identification",2023,"Proceedings of the International Conference on Advances in Social Networks …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5478776276402427886",5,"2025-03-15 01:47:42","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:qjMakFHDy7sC",,,,,4,2.00,1,4,2,"","",""
3,"I Hossain, MJ Alam, S Puppala, S Talukder","EVOLVE: Predicting User Evolution and Network Dynamics in Social Media Using Fine-Tuned GPT-like Model",2024,"arXiv preprint arXiv:2407.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16706485691975970796",6,"2025-03-15 01:47:42","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:ufrVoPGSRksC",9691,,,,3,3.00,1,4,1,"","",""
3,"S Talukder, MJ Alam, I Hossain, S Puppala","Blockchain-integrated secure framework for enhanced e-government services",2023,"Building cybersecurity applications with blockchain and smart contracts","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9862167748379765928",7,"2025-03-15 01:47:42","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:zYLM7Y9cAGgC",,,31,52,3,1.50,1,4,2,"","",""
3,"MZB Jahangir, R Hossain, R Islam, N Md Abdullah Al, MMA Haque, ...","Introduction to medical imaging informatics",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=649088854393166276",8,"2025-03-15 01:47:42","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:UeHWp8X0CEIC",,,27,50,3,1.50,1,6,2,"","",""
3,"M Bhuiyan, NM Abdullah Al, S Saif, KD Gupta, MJ Alam, S Talukder","Online learning for X-ray, CT or MRI",2023,"Data Driven Approaches on Medical Imaging","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15211818515216090657",9,"2025-03-15 01:47:42","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:u-x6o8ySG0sC",,,107,126,3,1.50,1,6,2,"","",""
2,"S Puppala, I Hossain, MJ Alam, Z Talukder, S Bahauddin, S Talukder","SCALE: Self-Regulated Clustered FederAted LEarning in a Homogeneous Environment",2024,"2024 IEEE 48th Annual Computers, Software, and Applications Conference …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10403074197873263655",10,"2025-03-15 01:47:42","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=v7hMP8kAAAAJ&pagesize=100&citation_for_view=v7hMP8kAAAAJ:UebtZRa9Y70C",,,,,2,2.00,0,6,1,"","",""
