Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
120,"Khaled R. Ahmed","Smart Pothole Detection Using Deep Learning Based on Dilated Convolution",2021,"Sensors","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15907258790462259513",1,"2025-03-23 16:52:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:uLbwQdceFCQC",21,24,,,120,30.00,120,1,4,"","",""
11,"S Goshika, K Meksem, KR Ahmed, N Lakhssassi","Deep Learning Model for Classifying and Evaluating Soybean Leaf Disease Damage",2024,"Int. J. Mol. Sci. https://doi.org/10.3390/ijms25010106","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17413868351357125944",21,"2025-03-23 16:52:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:nrtMV_XWKgEC",25,1,,,11,11.00,3,4,1,"","",""
18,"AM Almalky, KR Ahmed","Deep Learning for Detecting and Classifying the Growth Stages of Consolida regalis Weeds on Fields",2023,"Agronomy; Special issue on Machine Vision Systems in Digital Agriculture","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15066311942282577362",7,"2025-03-23 16:52:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:fEOibwPWpKIC",13,3,,,18,9.00,9,2,2,"","",""
16,"Khaled R Ahmed","DSTEELNet: A Real-time Parallel Dilated CNN with atrous spatial pyramid pooling for Detecting and Classifying defects in Surface Steel Strips",2023,"Sensors","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1400812738096332329",11,"2025-03-23 16:52:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:2KloaMYe4IUC",23,1,,,16,8.00,16,1,2,"","",""
6,"TT Sarker, T Islam, KR Ahmed","Cannabis Seed Variant Detection using Faster R-CNN,",2024,"10th IEEE International Conference on Advanced Computing and Communication …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8870176925406040711",35,"2025-03-23 16:52:56","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:zLWjf1WUPmwC",,,,,6,6.00,2,3,1,"","",""
14,"S Kharel, Khaled R Ahmed","Potholes detection using deep learning and area estimation using image processing",2022,"Proceedings of SAI Intelligent Systems Conference","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12470334915042662090",14,"2025-03-23 16:52:56","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:UHK10RUVsp4C",,,373,388,14,4.67,7,2,3,"","",""
8,"AM Almalky, Khaled R Ahmed, M Guzel, B Turan","An Efficient Deep Learning Technique for Detecting and Classifying the Growth of Weeds on Fields",2023,"Proceedings of the Future Technologies Conference","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15358761256568367149",27,"2025-03-23 16:52:56","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:tzM49s52ZIMC",,,818,835,8,4.00,2,4,2,"","",""
18,"Y. Alsenani, G. Crosby, Khaled R. Ahmed and T. Velasco","ProTrust: A Probabilistic Trust Framework for Volunteer Cloud Computing",2020,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15620520606480775250",8,"2025-03-23 16:52:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:SeFeTyx0c_EC",8,,,,18,3.60,6,3,5,"","",""
3,"Y Alsenani, R Mishra, KR Ahmed, AU Rahman","Fedsikd: Clients similarity and knowledge distillation: Addressing non-iid and constraints in federated learning",2024,"arXiv preprint arXiv:2402.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4303710932827493188",48,"2025-03-23 16:52:56","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:ipzZ9siozwsC",9095,,,,3,3.00,1,4,1,"","",""
3,"TT Sarker, MG Embaby, KR Ahmed, A AbuGhazaleh","Gasformer: A transformer-based architecture for segmenting methane emissions from livestock in optical gas imaging",2024,"Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15889012143543963077",49,"2025-03-23 16:52:56","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:URolC5Kub84C",,,,,3,3.00,1,4,1,"","",""
11,"Khaled R Ahmed","Parallel Dilated CNN for Detecting and Classifying Defects in Surface Steel Strips in Real-Time",2021,"Intelligent Systems and Applications. IntelliSys 2021.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5798079522425645467",22,"2025-03-23 16:52:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:PR6Y55bgFSsC",294,,168,183,11,2.75,11,1,4,"","",""
8,"K Akhila, KR Ahmed","Firearm Detection using Deep Learning",2022,"Intelligent Systems and Applications","IntelliSys 2022 3 (Springer LNNS 544 …","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4647832600582145950",28,"2025-03-23 16:52:56","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:tKAzc9rXhukC",,,,,8,2.67,4,2,3,"","",""
35,"MS Zahrani, K Ragab, AU Haque","Design of GPS-based system to avoid camel-vehicle collisions: a review",2011,"Asian Journal of Applied Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11564214309367170561",4,"2025-03-23 16:52:56","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:0EnyYjriUFMC",4,4,362,377,35,2.50,12,3,14,"","",""
32,"N Zaman, R Khaled","Wireless Sensor Networks and Energy Efficiency: Protocols, Routing and Management: Protocols, Routing and Management",2012,"IGI Global","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3536708142116002412",5,"2025-03-23 16:52:56","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FYKqgh4AAAAJ&pagesize=100&citation_for_view=FYKqgh4AAAAJ:Wp0gIr-vW9MC",,,,,32,2.46,16,2,13,"","",""
