Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1034,"Z Yang, M Chen, W Saad, CS Hong, M Shikh-Bahaei","Energy efficient federated learning over wireless communication networks",2020,"IEEE Transactions on Wireless Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7312559934696111729",2,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:dT4-KZ621vcC",20,3,1935,1949,1034,206.80,207,5,5,"","",""
786,"LU Khan, W Saad, Z Han, E Hossain, CS Hong","Federated learning for internet of things: Recent advances, taxonomy, and open challenges",2021,"IEEE Communications Surveys &Tutorials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14135069007458879109",5,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:6YFk0eKgftsC",23,3,1759,1799,786,196.50,157,5,4,"","",""
387,"C Zhang, D Han, Y Qiao, JU Kim, SH Bae, S Lee, CS Hong","Faster segment anything: Towards lightweight sam for mobile applications",2023,"arXiv preprint arXiv:2306.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3080501520492617184",10,"2025-03-24 02:13:09","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:eHo_KFcuhuIC",14289,,,,387,193.50,55,7,2,"","",""
1080,"NH Tran, W Bao, A Zomaya, MNH Nguyen, CS Hong","Federated learning over wireless networks: Optimization model design and analysis",2019,"IEEE INFOCOM 2019-IEEE conference on computer communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4089863123520081060",1,"2025-03-24 02:13:09","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:tL5YfqkXb3gC",,,1387,1395,1080,180.00,216,5,6,"","",""
462,"LU Khan, W Saad, D Niyato, Z Han, CS Hong","Digital-twin-enabled 6G: Vision, architectural trends, and future directions",2022,"IEEE Communications Magazine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11596995392859554925",9,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:kk7MRXTjMocC",60,1,74,80,462,154.00,92,5,3,"","",""
217,"C Zhang, C Zhang, S Zheng, Y Qiao, C Li, M Zhang, SK Dam, CM Thwal, ...","A complete survey on generative ai (aigc): Is chatgpt from gpt-4 to gpt-5 all you need?",2023,"arXiv preprint arXiv:2303.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10162538139609691591",24,"2025-03-24 02:13:09","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:XyWThvt29VcC",11717,,,,217,108.50,24,9,2,"","",""
523,"LU Khan, SR Pandey, NH Tran, W Saad, Z Han, MNH Nguyen, CS Hong","Federated learning for edge networks: Resource optimization and incentive mechanism",2020,"IEEE Communications Magazine","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9520527480681894472",6,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:S_fw-_riRmcC",58,10,88,93,523,104.60,75,7,5,"","",""
817,"M Chen, M Mozaffari, W Saad, C Yin, M Debbah, CS Hong","Caching in the sky: Proactive deployment of cache-enabled unmanned aerial vehicles for optimized quality-of-experience",2017,"IEEE Journal on Selected Areas in Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2387293079430392101",4,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:K3LRdlH-MEoC",35,5,1046,1061,817,102.13,136,6,8,"","",""
471,"CT Dinh, NH Tran, MNH Nguyen, CS Hong, W Bao, AY Zomaya, ...","Federated learning over wireless networks: Convergence analysis and resource allocation",2020,"IEEE/ACM Transactions on Networking","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12991861056411436008",7,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:aVq8r21TQD4C",29,1,398,409,471,94.20,67,7,5,"","",""
464,"LU Khan, I Yaqoob, NH Tran, SMA Kazmi, TN Dang, CS Hong","Edge-computing-enabled smart cities: A comprehensive survey",2020,"IEEE Internet of Things journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2748684473627588739",8,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:uoeYKOKFegwC",7,10,10200,10232,464,92.80,77,6,5,"","",""
322,"M Alsenwi, NH Tran, M Bennis, SR Pandey, AK Bairagi, CS Hong","Intelligent resource slicing for eMBB and URLLC coexistence in 5G and beyond: A deep reinforcement learning based approach",2021,"IEEE Transactions on Wireless Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6233854487565231790",16,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:KEtq3P1Vf8oC",20,7,4585,4600,322,80.50,54,6,4,"","",""
307,"U Majeed, LU Khan, I Yaqoob, SMA Kazmi, K Salah, CS Hong","Blockchain for IoT-based smart cities: Recent advances, requirements, and future challenges",2021,"Journal of Network and Computer Applications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17779287047129211056",17,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:Ef4XXjhdXvQC",181,,103007,103007,307,76.75,51,6,4,"","",""
227,"LU Khan, Z Han, W Saad, E Hossain, M Guizani, CS Hong","Digital twin of wireless systems: Overview, taxonomy, challenges, and opportunities",2022,"IEEE Communications Surveys &Tutorials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11602196092574392045",21,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:5AT-p8ixKR4C",24,4,2230,2254,227,75.67,38,6,3,"","",""
373,"LU Khan, I Yaqoob, M Imran, Z Han, CS Hong","6G wireless systems: A vision, architectural elements, and future directions",2020,"IEEE access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=671153100683118193",12,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:Agc8PWtS8JkC",8,,147029,147044,373,74.60,75,5,5,"","",""
71,"LU Khan, Z Han, D Niyato, M Guizani, CS Hong","Metaverse for wireless systems: Vision, enablers, architecture, and future directions",2024,"IEEE Wireless Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12614990075271863509",85,"2025-03-24 02:13:09","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:WTkkuPxyGkUC",,,,,71,71.00,14,5,1,"","",""
323,"SR Pandey, NH Tran, M Bennis, YK Tun, A Manzoor, CS Hong","A crowdsourcing framework for on-device federated learning",2020,"IEEE Transactions on Wireless Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1294636524992196871",15,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:CmbFvBriOyMC",19,5,3241,3256,323,64.60,54,6,5,"","",""
378,"I Yaqoob, IAT Hashem, A Ahmed, SMA Kazmi, CS Hong","Internet of things forensics: Recent advances, taxonomy, requirements, and open challenges",2019,"Future Generation Computer Systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15454266924400084820",11,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:DGzKIA18-3YC",92,,265,275,378,63.00,76,5,6,"","",""
179,"Z Chaoning, C Zhang, C Li, S ZHENG, SK DAM, M ZHANG, JUK KIM, ...","One small step for generative ai, one giant leap for agi: A complete survey on chatgpt in aigc era",2022,"","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18278827892755632751",30,"2025-03-24 02:13:09","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:XK2cf6JOk9AC",,,,,179,59.67,22,8,3,"","",""
57,"SK Dam, CS Hong, Y Qiao, C Zhang","A complete survey on llm-based ai chatbots",2024,"arXiv preprint arXiv:2406.","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7815562421897156832",112,"2025-03-24 02:13:09","Preprint","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&cstart=100&pagesize=100&citation_for_view=oKANWloAAAAJ:_bh1rdP-zDcC",16937,,,,57,57.00,14,4,1,"","",""
331,"I Yaqoob, LU Khan, SMA Kazmi, M Imran, N Guizani, CS Hong","Autonomous driving cars in smart cities: Recent advances, requirements, and challenges",2019,"IEEE Network","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6608047508623695111",14,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:FwTEoIZreccC",34,1,174,181,331,55.17,55,6,6,"","",""
298,"A Ndikumana, NH Tran, TM Ho, Z Han, W Saad, D Niyato, CS Hong","Joint communication, computation, caching, and control in big data multi-access edge computing",2019,"IEEE Transactions on mobile Computing","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6585819103834010531",19,"2025-03-24 02:13:09","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:Ak0FvsSvgGUC",19,6,1359,1374,298,49.67,43,7,6,"","",""
867,"ASK Pathan, HW Lee, CS Hong","Security in wireless sensor networks: issues and challenges",2006,"2006 8th International Conference Advanced Communication Technology 2, 6 pp …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17473664366874685884",3,"2025-03-24 02:13:09","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=oKANWloAAAAJ&pagesize=100&citation_for_view=oKANWloAAAAJ:-fu4zM_6qcIC",,,,,867,45.63,289,3,19,"","",""
