Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
29,"T Islam, A Kundu, RJ Lima, MH Hena, O Sharif, A Rahman, MZ Hasan","Review analysis of ride-sharing applications using machine learning approaches: Bangladesh perspective",2023,"Computational Statistical Methodologies and Modeling for Artificial …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2598336532190718528",2,"2025-03-23 16:48:41","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:roLk4NBRz8UC",,,,,29,14.50,4,7,2,"","",""
31,"O Sharif, MZ Hasan, A Rahman","Determining an effective short term COVID-19 prediction model in ASEAN countries",2022,"Scientific Reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13140861104943775595",1,"2025-03-23 16:48:41","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:WF5omc3nYNoC",12,1,5083,5083,31,10.33,10,3,3,"","",""
13,"AR Hui Shan Wong, Md Zobaer Hasan, Omar Sharif","Effect of Total Population, Population Density and Weighted Population Density on the Spread of Covid-19 in Malaysia",2023,"PLOS ONE","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9837560669996072684",4,"2025-03-23 16:48:41","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:LkGwnXOMwfcC",18,4,284157,,13,6.50,4,3,2,"","",""
12,"T Islam, MA Sheakh, AN Jui, O Sharif, MZ Hasan","A review of cyber attacks on sensors and perception systems in autonomous vehicle",2023,"Journal of Economy and Technology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=834746984532459493",5,"2025-03-23 16:48:41","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:Se3iqnhoufwC",1,,242,258,12,6.00,2,5,2,"","",""
11,"O Sharif, MR Islam, MZ Hasan, MA Kabi, ME Hasan, SA AlQahtani, G Xu","Analyzing the Impact of Demographic Variables on Spreading and Forecasting COVID-19",2021,"Journal of Healthcare Informatics Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5087324575649195709",6,"2025-03-23 16:48:41","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:eQOLeE2rZwMC",,,,,11,2.75,2,7,4,"","",""
17,"O Sharif, MZ Hasan, K Florentina, A Hermawan, A Gunardi","Productivity and efficiency analysis using DEA: Evidence from financial companies listed in Bursa Malaysia",2018,"Management Science Letters","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4389787415460998697",3,"2025-03-23 16:48:41","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:d1gkVwhDpl0C",9,2,301,312,17,2.43,3,5,7,"","",""
10,"O Sharif, MZ Hasan","Forecasting the Stock Price by using Holt’s Method",2019,"Indonesian Journal of Contemporary Management Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3399254953134896748,4271652416299656697",7,"2025-03-23 16:48:41","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:_FxGoFyzp5QC",1,1,15,24,10,1.67,5,2,6,"","",""
1,"EM Miller, TCD Chan, C Montes-Matamoros, O Sharif, L Pujo-Menjouet, ...","Oscillations in neuronal activity: a neuron-centered spatiotemporal model of the Unfolded Protein Response in prion diseases",2024,"Bulletin of Mathematical Biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14459343557292445231",10,"2025-03-23 16:48:41","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:UebtZRa9Y70C",86,7,82,82,1,1.00,0,6,1,"","",""
4,"MZS Omar Sharif, Md Zobaer Hasan, Chang Yun Fah","Efficiency analysis by combination of frontier methods: Evidence from unreplicated linear functional relationship model",2019,"Business and Economic Horizons","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4553396653412671763",8,"2025-03-23 16:48:41","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:2osOgNQ5qMEC",15,1,107,125,4,0.67,1,3,6,"","",""
2,"MZS Omar Sharif, Md Zobaer Hasan, Mohammad Abdul Halim, Md. Mehedi Hasan","Regression Analysis to Rank: Evidence from Profit Risk and Efficiency",2020,"Communications in Computational and Applied Mathematic 2 (2), pp","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11301828216623840040",9,"2025-03-23 16:48:41","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7wXskgQAAAAJ&pagesize=100&citation_for_view=7wXskgQAAAAJ:Y0pCki6q_DkC",,,1,6,2,0.40,1,4,5,"","",""
