Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
34,"A Biswas, N Md Abdullah Al, A Imran, AT Sejuty…","Generative adversarial networks for data augmentation",2023,"Data Driven Approaches …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-47772-0_8","https://scholar.google.com/scholar?cites=9579430514940149198&as_sdt=2005&sciodt=2007&hl=en",1,"2025-03-15 01:32:41","","10.1007/978-3-031-47772-0_8","","",,,,,34,17.00,7,5,2,"One way to expand the available dataset for training AI models in the medical field is through the use of Generative Adversarial Networks (GANs) for data augmentation. GANs …","https://arxiv.org/pdf/2306.02019","https://scholar.google.com/scholar?q=related:zn2LoUz58IQJ:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
6,"S Sarker, A Biswas, NMA Al, MS Ali, S Puppala…","Case studies on x-ray imaging, mri and nuclear imaging",2023,"Data Driven Approaches …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-47772-0_10","https://scholar.google.com/scholar?cites=16685016960300133156&as_sdt=2005&sciodt=2007&hl=en",2,"2025-03-15 01:32:41","","10.1007/978-3-031-47772-0_10","","",,,,,6,3.00,1,6,2,"The field of medical imaging is an essential aspect of the medical sciences, involving various forms of radiation to capture images of the internal tissues and organs of the body …","https://arxiv.org/pdf/2306.02055","https://scholar.google.com/scholar?q=related:JKsOPoYWjecJ:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
19,"I Hossain, S Puppala, S Talukder","Collaborative differentially private federated learning framework for the prediction of diabetic retinopathy",2023,"2023 IEEE 2nd International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10044122/","https://scholar.google.com/scholar?cites=1576068760520128201&as_sdt=2005&sciodt=2007&hl=en",3,"2025-03-15 01:32:41","","","","",,,,,19,9.50,6,3,2,"The diagnosis of diabetic retinopathy may be streamlined and expedited with the help of deep learning, which is an efficient way to help an eye specialist examine the enormous …","https://ieeexplore.ieee.org/iel7/10044118/10044119/10044122.pdf","https://scholar.google.com/scholar?q=related:yXZk9C9S3xUJ:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
4,"I Hossain, S Puppala, MJ Alam, S Talukder…","A visual approach to tracking emotional sentiment dynamics in social network commentaries",2024,"Proceedings of the …","ojs.aaai.org","https://ojs.aaai.org/index.php/ICWSM/article/view/31337","https://scholar.google.com/scholar?cites=13810402491279919646&as_sdt=2005&sciodt=2007&hl=en",4,"2025-03-15 01:32:41","","","","",,,,,4,4.00,1,5,1,"The expansion of social media has unlocked a real-time barometer of public opinion. This paper introduces a novel framework to analyze sentiment shifts in social network comment …","https://ojs.aaai.org/index.php/ICWSM/article/download/31337/33497","https://scholar.google.com/scholar?q=related:HsroKeVnqL8J:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
14,"S Puppala, I Hossain, S Talukder","Towards federated learning based contraband detection within airport baggage x-rays",2022,"2022 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9996472/","https://scholar.google.com/scholar?cites=16351347176222717601&as_sdt=2005&sciodt=2007&hl=en",5,"2025-03-15 01:32:41","","","","",,,,,14,4.67,5,3,3,"To maintain border and transportation security against a variety of threat profiles, it is essential to find contraband in airport baggage X-rays. Security inspectors have a tougher …","https://ieeexplore.ieee.org/iel7/9996381/9996455/09996472.pdf","https://scholar.google.com/scholar?q=related:oXbXpZ-n6-IJ:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
4,"I Hossain, S Puppala, MJ Alam, S Talukder","Socialrec: User activity based post weighted dynamic personalized post recommendation system in social media",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2407.09747","https://scholar.google.com/scholar?cites=6591621606809209507&as_sdt=2005&sciodt=2007&hl=en",6,"2025-03-15 01:32:41","","","","",,,,,4,4.00,1,4,1,"User activities can influence their subsequent interactions with a post, generating interest in the user. Typically, users interact with posts from friends by commenting and using reaction …","https://arxiv.org/pdf/2407.09747","https://scholar.google.com/scholar?q=related:owqnb-0kelsJ:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
5,"S Sharma, S Bijukshe, SS Puppala","Monitoring, Modeling and Planning Best Management Practices (BMPs) in the Atwood and Tappan Lake Watersheds with Stakeholders Engagements",2023,"Water","mdpi.com","https://www.mdpi.com/2073-4441/15/17/3028","https://scholar.google.com/scholar?cites=8637381923952717324&as_sdt=2005&sciodt=2007&hl=en",7,"2025-03-15 01:32:41","HTML","","","",,,,,5,2.50,2,3,2,"This study was conducted in the Atwood and Tappan Lakes watersheds of the Tuscarawas basin of Ohio. The flow, total nitrogen (TN), and total phosphorus (TP) loadings were …","https://www.mdpi.com/2073-4441/15/17/3028","https://scholar.google.com/scholar?q=related:DO6U1hgl3ncJ:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
11,"S Talukder, S Puppala, I Hossain","Federated learning-based contraband detection within airport baggage x-rays",2022,"Journal of Computing Sciences in …","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/3580523.3580579","https://scholar.google.com/scholar?cites=2980469564023560613&as_sdt=2005&sciodt=2007&hl=en",8,"2025-03-15 01:32:41","","10.5555/3580523.3580579","","",,,,,11,3.67,4,3,3,"The Transportation Security Administration (TSA) runs security checkpoints at airports in the United States to keep hazardous objects off. The TSA uses an array of X-ray and CT …","","https://scholar.google.com/scholar?q=related:pdl8-0bBXCkJ:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
9,"S Talukder, S Puppala, I Hossain","A novel hierarchical federated learning with self-regulated decentralized clustering",2022,"Journal of Computing Sciences in …","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/3580523.3580583","https://scholar.google.com/scholar?cites=105320682531891152&as_sdt=2005&sciodt=2007&hl=en",9,"2025-03-15 01:32:41","","10.5555/3580523.3580583","","",,,,,9,3.00,3,3,3,"For collaboratively training machine learning models toward a world consensus model while observing privacy restrictions, Federated Learning (FL) is currently the most extensively …","","https://scholar.google.com/scholar?q=related:0KfQTZosdgEJ:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
2,"S Puppala, I Hossain, MJ Alam…","SCALE: Self-Regulated Clustered FederAted LEarning in a Homogeneous Environment",2024,"2024 IEEE 48th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10633530/","https://scholar.google.com/scholar?cites=10403074197873263655&as_sdt=2005&sciodt=2007&hl=en",10,"2025-03-15 01:32:41","","","","",,,,,2,2.00,1,4,1,"Federated Learning (FL) has emerged as a transfor-mative approach for enabling distributed machine learning while preserving user privacy, yet it faces challenges like …","https://arxiv.org/pdf/2407.18387","https://scholar.google.com/scholar?q=related:J4REeN0kX5AJ:scholar.google.com/&scioq=author:%22sai+puppala%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
