Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
189,"MN Islam, M Hasan, MK Hossain, MGR Alam, MZ Uddin, A Soylu","Vision transformer and explainable transfer learning models for auto detection of kidney cyst, stone and tumor from CT-radiography",2022,"Scientific Reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17424960001140501489",4,"2025-03-24 02:14:54","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:tkaPQYYpVKoC",12,1,11440,11440,189,63.00,32,6,3,"","",""
317,"MM Hassan, MGR Alam, MZ Uddin, S Huda, A Almogren, G Fortino","Human emotion recognition using deep belief network architecture",2019,"Information Fusion","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16820636198659916887",1,"2025-03-24 02:14:54","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:SeFeTyx0c_EC",51,,10,18,317,52.83,53,6,6,"","",""
237,"MGR Alam, MM Hassan, MZI Uddin, A Almogren, G Fortino","Autonomic computation offloading in mobile edge for IoT applications",2019,"Future Generation Computer Systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=853980986334247872",2,"2025-03-24 02:14:54","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:Y0pCki6q_DkC",90,,149,157,237,39.50,47,5,6,"","",""
29,"D Kundu, MM Rahman, A Rahman, D Das, UR Siddiqi, MGR Alam, ...","Federated deep learning for monkeypox disease detection on gan-augmented dataset",2024,"IEEE Access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10143166744826589987",34,"2025-03-24 02:14:54","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:_5tno0g5mFcC",,,,,29,29.00,4,7,1,"","",""
83,"KM Hasib, F Rahman, R Hasnat, MGR Alam","A machine learning and explainable ai approach for predicting secondary school student performance",2022,"2022 IEEE 12th Annual Computing and Communication Workshop and Conference …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9618625341657491324",11,"2025-03-24 02:14:54","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:kRWSkSYxWN8C",,,,,83,27.67,21,4,3,"","",""
26,"SA Rieyan, MRK News, ABMM Rahman, SA Khan, STJ Zaarif, MGR Alam, ...","An advanced data fabric architecture leveraging homomorphic encryption and federated learning",2024,"Information Fusion","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17933373348488415421",38,"2025-03-24 02:14:54","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:_FM0Bhl9EiAC",102,,102004,102004,26,26.00,4,7,1,"","",""
23,"S Saha, C Saha, MM Haque, MGR Alam, A Talukder","Churnnet: deep learning enhanced customer churn prediction in telecommunication industry",2024,"IEEE access","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14901124102869818051",40,"2025-03-24 02:14:54","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:0izLItjtcgwC",12,,4471,4484,23,23.00,5,5,1,"","",""
200,"MGR Alam, AKM Masum, LS Beh, CS Hong","Critical factors influencing decision to adopt human resource information system (HRIS) in hospitals",2016,"PloS one","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4944294512447447078",3,"2025-03-24 02:14:54","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:kNdYIx-mwKoC",11,8,160366,,200,22.22,50,4,9,"","",""
147,"SF Abedin, MGR Alam, SMA Kazmi, NH Tran, D Niyato, CS Hong","Resource allocation for ultra-reliable and enhanced mobile broadband IoT applications in fog network",2018,"IEEE Transactions on Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13584849469252344918",6,"2025-03-24 02:14:54","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:NMxIlDl6LWMC",67,1,489,502,147,21.00,25,6,7,"","",""
155,"CT Do, NH Tran, C Pham, MGR Alam, JH Son, CS Hong","A proximal algorithm for joint resource allocation and minimizing carbon footprint in geo-distributed fog computing",2015,"2015 international conference on information networking (ICOIN)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7416202967072544535",5,"2025-03-24 02:14:54","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=t4GrJR4AAAAJ&pagesize=100&citation_for_view=t4GrJR4AAAAJ:7PzlFSSx8tAC",,,324,329,155,15.50,26,6,10,"","",""
