Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
35,"T Islam, MA Hosen, A Mony, MDT Hasan, I Jahan, A Kundu","A proposed Bi-LSTM method to fake news detection",2022,"2022 International Conference for Advancement in Technology (ICONAT)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1360975893620466996",1,"2025-03-15 01:38:04","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:2osOgNQ5qMEC",,,1,5,35,11.67,6,6,3,"","",""
31,"MT Islam, T Ahmed, ABMR Rashid, T Islam, MS Rahman, MT Habib","Convolutional neural network based partial face detection",2022,"2022 IEEE 7th International conference for Convergence in Technology (I2CT)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5921465343609992472",2,"2025-03-15 01:38:04","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:qjMakFHDy7sC",,,1,6,31,10.33,5,6,3,"","",""
31,"T Islam, A Kundu, N Islam Khan, C Chandra Bonik, F Akter, ...","Machine learning approaches to predict breast cancer: Bangladesh perspective",2021,"International Conference on Ubiquitous Computing and Intelligent Information …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15040320261174703505",3,"2025-03-15 01:38:04","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:W7OEmFMy1HYC",,,,,31,7.75,5,6,4,"","",""
29,"T Islam, A Kundu, RJ Lima, MH Hena, O Sharif, A Rahman, MZ Hasan","Review analysis of ride-sharing applications using machine learning approaches: Bangladesh perspective",2023,"Computational Statistical Methodologies and Modeling for Artificial …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2598336532190718528",4,"2025-03-15 01:38:04","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:9yKSN-GCB0IC",,,,,29,14.50,4,7,2,"","",""
25,"MSH Talukder, RB Sulaiman, MR Chowdhury, MS Nipun, T Islam","PotatoPestNet: a CTInceptionV3-RS-based neural network for accurate identification of potato pests",2023,"Smart Agricultural Technology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10696728259523812424",5,"2025-03-15 01:38:04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:Tyk-4Ss8FVUC",5,,100297,100297,25,12.50,5,5,2,"","",""
22,"MA Sheakh, MS Tahosin, MM Hasan, T Islam, O Islam, MM Rana","Child and maternal mortality risk factor analysis using machine learning approaches",2023,"2023 11th International Symposium on Digital Forensics and Security (ISDFS)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16380119551605988896",6,"2025-03-15 01:38:04","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:YsMSGLbcyi4C",,,1,6,22,11.00,4,6,2,"","",""
19,"T Islam, MA Sheakh, MS Tahosin, MH Hena, S Akash, YA Bin Jardan, ...","Predictive modeling for breast cancer classification in the context of Bangladeshi patients by use of machine learning approach with explainable AI",2024,"Scientific Reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14509417809510373396,15051243038772484544",7,"2025-03-15 01:38:04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:KlAtU1dfN6UC",14,1,8487,8487,19,19.00,3,7,1,"","",""
19,"MS Tahosin, MA Sheakh, T Islam, RJ Lima, M Begum","Optimizing brain tumor classification through feature selection and hyperparameter tuning in machine learning models",2023,"Informatics in medicine unlocked","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1448398196369935789",8,"2025-03-15 01:38:04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:eQOLeE2rZwMC",43,,101414,101414,19,9.50,4,5,2,"","",""
15,"T Islam, MA Sheakh, MR Sadik, MS Tahosin, MMR Foysal, J Ferdush, ...","Lexicon and deep learning-based approaches in sentiment analysis on short texts",2024,"Journal of Computer and Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16915614757148650147",9,"2025-03-15 01:38:04","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:WF5omc3nYNoC",12,1,11,34,15,15.00,2,7,1,"","",""
13,"T Islam, A Vuyia, M Hasan, MM Rana","Cardiovascular disease prediction using machine learning approaches",2023,"2023 International Conference on Computational Intelligence and Sustainable …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9216213596989917320",10,"2025-03-15 01:38:04","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Kgo_S9sAAAAJ&pagesize=100&citation_for_view=Kgo_S9sAAAAJ:IjCSPb-OGe4C",,,,,13,6.50,3,4,2,"","",""
