Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
210,"S Sarker, L Jamal, SF Ahmed, N Irtisam","Robotics and artificial intelligence in healthcare during COVID-19 pandemic: A systematic review",2021,"Robotics and autonomous systems","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7171080839731606138",1,"2025-03-24 02:01:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:kNdYIx-mwKoC",146,,103902,103902,210,52.50,53,4,4,"","",""
16,"PK Nandi, MRI Reaj, S Sarker, MA Razzaque, M Mamun-or-Rashid, ...","Task offloading to edge cloud balancing utility and cost for energy harvesting internet of things",2024,"Journal of Network and Computer Applications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8068639954085841644",11,"2025-03-24 02:01:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:qxL8FJ1GzNcC",221,,103766,103766,16,16.00,3,6,1,"","",""
42,"S Rahman, S Sarker, AKMN Haque, MM Uttsha, MF Islam, S Deb","AI-driven stroke rehabilitation systems and assessment: A systematic review",2022,"IEEE Transactions on Neural Systems and Rehabilitation Engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8266609315752060517",7,"2025-03-24 02:01:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:_kc_bZDykSQC",31,,192,207,42,14.00,7,6,3,"","",""
48,"P Roy, S Sarker, MA Razzaque, M Mamun-or-Rashid, MM Hassan, ...","Distributed task allocation in mobile device cloud exploiting federated learning and subjective logic",2021,"Journal of Systems Architecture","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10134719339288368460",4,"2025-03-24 02:01:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:_FxGoFyzp5QC",113,,101972,101972,48,12.00,8,6,4,"","",""
47,"S Rahman, S Sarker, MAA Miraj, RA Nihal, AKM Nadimul Haque, ...","Deep learning–driven automated detection of Covid-19 from radiography images: A comparative analysis",2021,"Cognitive Computation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2650411589353032556",5,"2025-03-24 02:01:05","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:LkGwnXOMwfcC",,,1,30,47,11.75,8,6,4,"","",""
54,"P Roy, S Sarker, MA Razzaque, MM Hassan, SA AlQahtani, G Aloi, ...","AI-enabled mobile multimedia service instance placement scheme in mobile edge computing",2020,"Computer Networks","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15313342572566984202",2,"2025-03-24 02:01:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:WF5omc3nYNoC",182,,107573,107573,54,10.80,8,7,5,"","",""
38,"S Ahmed, T Hossain, OB Hoque, S Sarker, S Rahman, FM Shah","Automated covid-19 detection from chest x-ray images: a high-resolution network (hrnet) approach",2021,"SN computer science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12359080463669922230",8,"2025-03-24 02:01:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:8k81kl-MbHgC",2,4,294,294,38,9.50,6,6,4,"","",""
44,"P Roy, A Tahsin, S Sarker, T Adhikary, MA Razzaque, MM Hassan","User mobility and quality-of-experience aware placement of virtual network functions in 5G",2020,"Computer Communications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3245784502766511882",6,"2025-03-24 02:01:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:Tyk-4Ss8FVUC",150,,367,377,44,8.80,7,6,5,"","",""
49,"S Sarker, MA Razzaque, MM Hassan, A Almogren, G Fortino, M Zhou","Optimal selection of crowdsourcing workers balancing their utilities and platform profit",2019,"IEEE Internet of Things Journal","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4119526559443345476",3,"2025-03-24 02:01:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:IjCSPb-OGe4C",6,5,8602,8614,49,8.17,8,6,6,"","",""
31,"MSA Shuvo, MAR Munna, S Sarker, T Adhikary, MA Razzaque, ...","Energy-efficient scheduling of small cells in 5G: A meta-heuristic approach",2021,"Journal of Network and Computer Applications","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16843489845254709817",9,"2025-03-24 02:01:05","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uCSts6gAAAAJ&pagesize=100&citation_for_view=uCSts6gAAAAJ:UebtZRa9Y70C",178,,102986,102986,31,7.75,5,6,4,"","",""
