Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
29,"T Islam, A Kundu, RJ Lima, MH Hena, O Sharif, A Rahman, MZ Hasan","Review analysis of ride-sharing applications using machine learning approaches: Bangladesh perspective",2023,"Computational Statistical Methodologies and Modeling for Artificial …","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2598336532190718528",6,"2025-03-23 16:43:58","","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:lSLTfruPkqcC",,,,,29,14.50,4,7,2,"","",""
52,"MZ Saleheen, AA Salema, SMM Islam, CR Sarimuthu, MZ Hasan","A target-oriented performance assessment and model development of a grid-connected solar PV (GCPV) system for a commercial building in Malaysia",2021,"Renewable Energy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7563758519301907693",2,"2025-03-23 16:43:58","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:IWHjjKOFINEC",171,,371,382,52,13.00,10,5,4,"","",""
46,"IA Mir, M Chowdhury, RM Islam, GY Ling, AABM Chowdhury, MZ Hasan, ...","Relaxing music reduces blood pressure and heart rate among pre‐hypertensive young adults: A randomized control trial",2021,"The Journal of Clinical Hypertension","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13019616977907080555",3,"2025-03-23 16:43:58","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:L8Ckcad2t8MC",23,2,317,322,46,11.50,7,7,4,"","",""
31,"O Sharif, MZ Hasan, A Rahman","Determining an effective short term COVID-19 prediction model in ASEAN countries",2022,"Scientific Reports","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13140861104943775595",5,"2025-03-23 16:43:58","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:TFP_iSt0sucC",12,1,5083,5083,31,10.33,10,3,3,"","",""
13,"HS Wong, MZ Hasan, O Sharif, A Rahman","Effect of total population, population density and weighted population density on the spread of Covid-19 in Malaysia",2023,"PloS one","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9837560669996072684",11,"2025-03-23 16:43:58","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:vV6vV6tmYwMC",18,4,284157,,13,6.50,3,4,2,"","",""
11,"T Islam, MA Sheakh, AN Jui, O Sharif, MZ Hasan","A review of cyber attacks on sensors and perception systems in autonomous vehicle",2023,"Journal of Economy and Technology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=834746984532459493",12,"2025-03-23 16:43:58","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:ldfaerwXgEUC",1,,242,258,11,5.50,2,5,2,"","",""
11,"MM Haque, HM Jaashan, MZ Hasan","Revisiting Saudi EFL learners’ autonomy: a quantitative study",2023,"Innovation in Language Learning and Teaching","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5173513560277578427",13,"2025-03-23 16:43:58","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:ns9cj8rnVeAC",17,4,845,858,11,5.50,4,3,2,"","",""
56,"MZ Hasan, AA Kamil, A Mustafa, MA Baten","A Cobb Douglas stochastic frontier model on measuring domestic bank efficiency in Malaysia",2012,"Public Library of Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3052819636449182280",1,"2025-03-23 16:43:58","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:2osOgNQ5qMEC",7,8,42215,,56,4.31,14,4,13,"","",""
11,"O Sharif, MR Islam, MZ Hasan, MA Kabir, ME Hasan, SA AlQahtani, G Xu","Analyzing the Impact of Demographic Variables on Spreading and Forecasting COVID-19",2022,"Journal of Healthcare Informatics Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5087324575649195709",14,"2025-03-23 16:43:58","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:4JMBOYKVnBMC",6,1,72,90,11,3.67,2,7,3,"","",""
29,"KM Masum, MN Islam, N Saha, MZ Hasan, A Mansor","Assessment of land grabbing from protected forest areas of Bhawal National Park in Bangladesh",2016,"Landscape Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11079434666500242723",7,"2025-03-23 16:43:58","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d1hN4nIAAAAJ&pagesize=100&citation_for_view=d1hN4nIAAAAJ:YsMSGLbcyi4C",41,3,330,343,29,3.22,6,5,9,"","",""
