Title,Citation,Year
,,
,,
"Collaborative Differentially Private Federated Learning Framework for the Prediction of Diabetic Retinopathy
I Hossain, S Puppala, S Talukder
2nd IEEE International Conference on AI in Cybersecurity (ICAIC)",19,2023
"Introduction of Medical Imaging Modalities
SKMS Islam, MA Al Nasim, I Hossain, S Talukder",17,2023
"Towards Federated Learning Based Contraband Detection Within Airport Baggage X-Rays
S Puppala, I Hossain, S Talukder
2022 IEEE International Conference on Machine Learning and Applied Network …",14,2023
"Federated Learning-based Contraband Detection within Airport Baggage X-Rays
S Talukder, I Hossian, S Puppala
Journal of Computing Sciences in Colleges 38 (3), 218",11,2023
"Active learning on medical image
A Biswas, NM Abdullah Al, MS Ali, I Hossain, MA Ullah, S Talukder
Data Driven Approaches on Medical Imaging, 51-67",9,2023
"A Novel Hierarchical Federated Learning with Self-Regulated Decentralized Clustering
S Talukder, I Hossian, S Puppala
Journal of Computing Sciences in Colleges 38 (3), 222-223",9,2023
"Prediction of Childhood and Pregnancy Lead Poisoning Using Deep Learning
S Talukder, S Puppala, I Hossain
Journal of Computing Sciences in Colleges 38 (3), 219",7,2023
"Machine Learning and Sentiment Analysis for Predicting Environmental Lead Toxicity in Children at the ZIP Code Level
S Puppala, I Hossain, S Talukder
2nd IEEE International Conference on AI in Cybersecurity (ICAIC)",6,2023
"AutoML Systems For Medical Imaging
TT Jidney, A Biswas, MA Al Nasim, MJ Alam, I Hossain, S Talukder",5,2023
"SocialRec: User Activity Based Post Weighted Dynamic Personalized Post Recommendation System in Social Media
I Hossain, MJ Alam, S Puppala, S Talukder
The 16th International Conference on Advances in Social Networks Analysis …",4,2024
"A Visual Approach to Tracking Emotional Sentiment Dynamics in Social Network Commentaries
I Hossain, S Puppala, MJ Alam, S Talukder
18th International AAAI Conference on Web and Social Media (ICWSM 2024), 11",4,2024
"Towards Addressing Identity Deception in Social Media using Bangla Text-Based Gender Identification
S Ahmed, MJ Alam, S Talukder, I Hossain
2023 IEEE/ACM International Conference on Advances in Social Networks …",4,2023
"Monitoring Dynamics of Emotional Sentiment in Social Network Commentaries
I Hossain, S Puppala, MJ Alam, S Talukder
2023 IEEE/ACM International Conference on Advances in Social Networks …",4,2023
"EVOLVE: Predicting User Evolution and Network Dynamics in Social Media Using Fine-Tuned GPT-like Model
I Hossain, MJ Alam, S Puppala, S Talukder
The 16th International Conference on Advances in Social Networks Analysis …",3,2024
"SCALE: Self-regulated Clustered federAted LEarning in a Homogeneous Environment
S Puppala, I Hossain, MJ Alam, S Talukder","2
*",
"Generative AI like ChatGPT in Blockchain Federated Learning: use cases, opportunities and future
S Puppala, I Hossain, MJ Alam, S Talukder",1,2024
"FLASH: Federated Learning-Based LLMs for Advanced Query Processing in Social Networks through RAG
I Hossain, MJ Alam, S Puppala, S Talukder
The 16th International Conference on Advances in Social Networks Analysis …","1
*",2024
"SocFedGPT: Federated GPT-based Adaptive Content Filtering System Leveraging User Interactions in Social Networks
I Hossain, MJ Alam, S Puppala, S Talukder
The 16th International Conference on Advances in Social Networks Analysis …","1
*",2024
"Combating Identity Attacks in Online Social Networks: A Multi-Layered Framework Using Zero-Knowledge Proof and Permissioned Blockchain
MJ Alam, I Hossain, S Puppala, S Talukder
2023 IEEE/ACM International Conference on Advances in Social Networks …",1,2023
"Natural Language Processing for Predictive Maintenance in Nuclear Power Plant: Digital Twin Context
RB Hossain, I Hossain, S Talukder, SB Alam
Transactions of the American Nuclear Society (ANS)",,2024
