Title,Citation,Year
,,
,,
"Automl systems for medical imaging
TT Jidney, A Biswas, NM Abdullah Al, I Hossain, MJ Alam, S Talukder, ...
Data Driven Approaches on Medical Imaging, 91-106",5,2023
"Socialrec: User activity based post weighted dynamic personalized post recommendation system in social media
I Hossain, S Puppala, MJ Alam, S Talukder
arXiv preprint arXiv:2407.09747",4,2024
"A visual approach to tracking emotional sentiment dynamics in social network commentaries
I Hossain, S Puppala, MJ Alam, S Talukder, Z Talukder
Proceedings of the International AAAI Conference on Web and Social Media 18 …",4,2024
"Monitoring dynamics of emotional sentiment in social network commentaries
I Hossain, S Puppala, MJ Alam, S Talukder
Proceedings of the International Conference on Advances in Social Networks …",4,2023
"Towards addressing identity deception in social media using bangla text-based gender identification
S Ahmed, MJ Alam, S Talukder, I Hossain
Proceedings of the International Conference on Advances in Social Networks …",4,2023
"EVOLVE: Predicting User Evolution and Network Dynamics in Social Media Using Fine-Tuned GPT-like Model
I Hossain, MJ Alam, S Puppala, S Talukder
arXiv preprint arXiv:2407.09691",3,2024
"Blockchain-integrated secure framework for enhanced e-government services
S Talukder, MJ Alam, I Hossain, S Puppala
Building cybersecurity applications with blockchain and smart contracts, 31-52",3,2023
"Introduction to medical imaging informatics
MZB Jahangir, R Hossain, R Islam, N Md Abdullah Al, MMA Haque, ...
Data Driven Approaches on Medical Imaging, 27-50",3,2023
"Online learning for X-ray, CT or MRI
M Bhuiyan, NM Abdullah Al, S Saif, KD Gupta, MJ Alam, S Talukder
Data Driven Approaches on Medical Imaging, 107-126",3,2023
"SCALE: Self-Regulated Clustered FederAted LEarning in a Homogeneous Environment
S Puppala, I Hossain, MJ Alam, Z Talukder, S Bahauddin, S Talukder
2024 IEEE 48th Annual Computers, Software, and Applications Conference …",2,2024
"SocFedGPT: Federated GPT-Based Adaptive Content Filtering System Leveraging User Interactions in Social Networks
S Puppala, I Hossain, MJ Alam, S Talukder
International Conference on Advances in Social Networks Analysis and Mining …",1,2024
"FLASH: Federated Learning-Based LLMs for Advanced Query Processing in Social Networks through RAG
S Puppala, I Hossain, MJ Alam, S Talukder
arXiv preprint arXiv:2408.05242",1,2024
"Generative AI like ChatGPT in Blockchain Federated Learning: use cases, opportunities and future
S Puppala, I Hossain, MJ Alam, S Talukder, J Ferdaus, M Hasan, ...
arXiv preprint arXiv:2407.18358",1,2024
"Advancements in Multimodal Social Media Post Summarization: Integrating GPT-4 for Enhanced Understanding
MJ Alam, I Hossain, S Puppala, S Talukder
2024 IEEE 48th Annual Computers, Software, and Applications Conference …",1,2024
"Combating identity attacks in online social networks: A multi-layered framework using zero-knowledge proof and permissioned blockchain
MJ Alam, I Hossain, S Puppala, S Talukder
Proceedings of the International Conference on Advances in Social Networks …",1,2023
"CAMERA: Context Based Emotion Detection Framework And Its Evaluation
ST Md Jahangir Alam, Ismail Hossain, Sai Puppala
2024 IEEE/ACM International Conference on Advances in Social Networks …",,2024
"SocialGuard: Bangla Text-Based Gender Identification for Enhancing Integrity in Social Networks
MJ Alam, S Ahmed, I Hossain, S Puppala, Z Talukder, S Talukder
2024 IEEE 48th Annual Computers, Software, and Applications Conference …",,2024
"ContextGPT: Predictive Monitoring of Nuclear Power Plant with Contextually-Informed Situational Understanding
SBA Raisa Bentay Hossain, Farid Ahmed, Jahangir Alam, Sajedul Talukder
Transactions of the American Nuclear Society (ANS)",,2024
"Enhancing OT Security in Advanced Reactors: Microsegmentation and Zero-Trust Strategies Against Emerging Cyber Threats
SBA Kazuma Kobayashi, Md Jahangir Alam, Sajedul Talukder
Transactions of the American Nuclear Society (ANS)",,2024
"Combating Echo Chambers In Online Social Network By Increasing Content Diversity In Recommendation
MJ Alam, I Hossain, S Puppala, S Talukder",,
