Title,Citation,Year
,,
,,
"Generative adversarial networks for data augmentation
A Biswas, N Md Abdullah Al, A Imran, AT Sejuty, F Fairooz, S Puppala, ...
Data Driven Approaches on Medical Imaging, 159-177",34,2023
"Collaborative Differentially Private Federated Learning Framework for the Prediction of Diabetic Retinopathy
S Puppala, I Hossain, S Talukder
IEEE International Conference on AI in Cybersecurity (ICAIC)",19,2023
"Towards Federated Learning Based Contraband Detection Within Airport Baggage X-Rays
S Puppala, I Hossain, S Talukder
International Conference on Machine Learning & Applied Network Technologies …",14,2023
"Federated Learning-based Contraband Detection within Airport Baggage X-Rays
S Talukder, I Hossian, S Puppala
Journal of Computing Sciences in Colleges",11,2022
"A Novel Hierarchical Federated Learning with Self-Regulated Decentralized Clustering
S Talukder, I Hossain, S Puppala
Journal of Computing Sciences in Colleges",9,2022
"Prediction of Childhood and Pregnancy Lead Poisoning Using Deep Learning
S Talukder, S Puppala, I Hossain
Journal of Computing Sciences in Colleges",7,2022
"Case studies on x-ray imaging, mri and nuclear imaging
S Sarker, A Biswas, NMA Al, MS Ali, S Puppala, S Talukder
Data Driven Approaches on Medical Imaging, 207-225",6,2023
"Machine Learning and Sentiment Analysis for Predicting Environmental Lead Toxicity in Children at the ZIP Code Level
S Puppala, I Hossain, S Talukder
IEEE International Conference on AI in Cybersecurity (ICAIC)",6,2023
"A Visual Approach to Tracking Emotional Sentiment Dynamics in Social Network Commentaries
I Hossain, S Puppala, MJ Alam, S Talukder
18th International AAAI Conference on Web and Social Media (ICWSM 2024), 11",4,2024
"SocialRec: User Activity Based Post Weighted Dynamic Personalized Post Recommendation System in Social Media
I Hossain, S Puppala, MJ Alam, S Talukder
2024 IEEE/ACM International Conference on Advances in Social Networks …",4,2024
"Monitoring Dynamics of Emotional Sentiment in Social Network Commentaries
I Hossain, S Puppala, MJ Alam, S Talukder
2023 IEEE/ACM International Conference on Advances in Social Networks …",4,2023
"EVOLVE: Predicting User Evolution and Network Dynamics in Social Media Using Fine-Tuned GPT-like Model
I Hossain, S Puppala, MJ Alam, S Talukder
2024 IEEE/ACM International Conference on Advances in Social Networks …",3,2024
"Blockchain-Integrated Secure Framework for Enhanced E-Government Services
S Talukder, MJ Alam, I Hossain, S Puppala
Building Cybersecurity Applications with Blockchain and Smart Contracts",3,2023
"SCALE: Self-regulated Clustered federAted LEarning in a Homogeneous Environment
S Puppala, I Hossain, MJ Alam, Z Talukder, S Bahauddin, S Talukder
48th IEEE International Conference on Computers, Software, and Applications …",2,2024
"Generative AI like ChatGPT in Blockchain Federated Learning: use cases, opportunities and future
S Puppala, I Hossain, MJ Alam, S Talukder, J Ferdaus, M Hasan, ...
arXiv preprint arXiv:2407.18358",1,2024
"Advancements in Multimodal Social Media Post Summarization: Integrating GPT-4 for Enhanced Understanding
MJ Alam, I Hossain, S Puppala, S Talukder
48th IEEE International Conference on Computers, Software, and Applications …",1,2024
"Towards Communication-Efficient Federated Learning Through Particle Swarm Optimization and Knowledge Distillation
S Zaman, S Talukder, A Imteaj, S Puppala
48th IEEE International Conference on Computers, Software, and Applications …",1,2024
"FLASH: Federated Learning-Based LLMs for Advanced Query Processing in Social Networks through RAG
S Puppala, I Hossain, MJ Alam, S Talukder
2024 IEEE/ACM International Conference on Advances in Social Networks …",1,2024
"SocFedGPT: Federated GPT-based Adaptive Content Filtering System Leveraging User Interactions in Social Networks
S Puppala, I Hossain, MJ Alam, S Talukder
2024 IEEE/ACM International Conference on Advances in Social Networks …",1,2024
"Combating Identity Attacks in Online Social Networks: A Multi-Layered Framework Using Zero-Knowledge Proof and Permissioned Blockchain
MJ Alam, I Hossain, S Puppala, S Talukder
2023 IEEE/ACM International Conference on Advances in Social Networks …",1,2023
