Name,Designation,Email,Research Topics
Leizhen Cai,Emeritus Professor,,
Lai Wan Chan,Emeritus Professor,,
Chuck-jee Chau,Lecturer,,
Tien Chi Chen,Emeritus Professor,,
Hong Cheng,Professor (by courtesy),,
James Cheng,Associate Professor,,
Chi Hong Cheong,Lecturer,,
Jackey Cheung,Lecturer,,
Yim Pan Chui,Lecturer,,
Qi Dou,Assistant Professor,,
Farzan Farnia,Assistant Professor,,
Chi Wing Fu,Professor,,
Ada Wai Chee Fu,Adjunct Associate Professor,,
Michael Ping Fu Fung,Senior Lecturer,,
Jinwei Gu,Associate Professor,,
